luminosity_distance	iota	total_mass	phi_jl	phi_2	dec	tilt_1	chi_eff	chirp_mass	mass_1_source	a_2	psi	tilt_2	mass_2_source	mass_ratio	theta_jn	total_mass_source	mass_1	a_1	chirp_mass_source	phi_1	mass_2	geocent_time	chi_p	ra	phi_12	phase	redshift
1.021817039829304804e+03	3.288962291696950757e-01	7.470078146778764960e+01	2.461621399131767252e+00	4.088446367616107580e+00	5.648625602228096731e-02	1.707037993857986935e+00	6.920514333572014287e-02	3.058116078176154673e+01	4.075280183747867113e+01	4.474843009629684842e-01	2.479383863629399443e+00	2.290488156529589814e-01	2.138390671330693849e+01	5.247223687486695098e-01	3.383293285663596106e-01	6.213670855078560606e+01	4.899303833857578638e+01	9.067399542931974255e-01	2.543765456403476577e+01	3.683264829647212135e+00	2.570774312921186677e+01	1.264316116411241055e+09	8.983376041097851372e-01	5.555883406692750270e+00	4.051815379688955554e-01	3.233073646740586060e+00	2.022004900168339336e-01
8.255278822459472394e+02	6.612328029366840720e-01	7.549721702013161462e+01	1.517390430300820103e+00	6.176042649080195623e+00	1.379014491897452288e-01	1.231078144872373770e+00	1.164188648324256670e-01	3.250169158151614823e+01	3.671760223354886676e+01	2.113556990078845066e-02	1.067078118810445009e+00	6.165304354400800158e-01	2.798607007788021406e+01	7.621976484158693443e-01	8.307486156373181663e-01	6.470367231142907372e+01	4.284264996494574262e+01	5.762219854242782713e-01	2.785505061857825737e+01	5.619982472599517109e+00	3.265456705518587199e+01	1.264316116410987377e+09	5.432900984586419568e-01	5.526606766298222340e+00	5.560601764806789582e-01	5.304536291863736430e+00	1.668150249146831687e-01
9.968584420776830939e+02	6.293608743458645183e-01	7.457140540223265646e+01	2.281873638913938684e+00	2.478850404441875099e+00	1.328662038713295246e-01	2.982040533725850429e-01	7.277943460564997857e-02	3.239908189442033404e+01	3.285670816662845795e+01	8.975651185219228889e-01	4.722956577389863519e-01	2.587824479306430003e+00	2.940189317642111888e+01	8.948520657429618330e-01	6.548043750729832801e-01	6.225860134304957683e+01	3.935473736995589178e+01	8.589668420939642335e-01	2.704953075063191292e+01	5.549953459036772507e+00	3.521666803227676468e+01	1.264316116410484076e+09	4.157490951328856599e-01	5.542219763660263254e+00	3.212082252584689712e+00	2.834949753154447638e+00	1.977687226113320484e-01
1.129348673749727823e+03	7.223359022475715763e-02	7.356761822001215023e+01	1.682735698540584801e+00	3.183787571762162205e+00	5.411582122526836791e-02	1.679148764953293460e+00	1.255027827080504137e-02	3.171649347956877207e+01	3.391740674380917397e+01	4.276599121336354115e-01	1.412827082993870054e+00	1.193097810990797703e+00	2.633032188316499855e+01	7.763070473532290849e-01	4.151469501393163508e-01	6.024772862697417963e+01	4.141604815993436262e+01	9.260249098645766397e-01	2.597401871080909075e+01	3.598260416028881359e+00	3.215157006007778051e+01	1.264316116410717964e+09	9.205943436324914853e-01	5.554370094238414879e+00	5.868712462912867522e+00	1.872752821151454805e+00	2.210853404201926775e-01
9.420455017991008617e+02	5.088709515327863864e-01	7.299314078547968165e+01	2.809637499386555604e+00	4.294096698145467350e+00	7.544319969825719063e-02	1.790025809409846014e+00	4.689248904310684696e-02	2.978126554202062692e+01	4.054497081500910838e+01	6.564603860234662358e-01	2.041104719708724424e+00	6.765624096445173041e-01	2.089868094874012883e+01	5.154444689106488786e-01	4.485217431761278073e-01	6.144365176374923720e+01	4.816616001637429889e+01	8.864051808665033283e-01	2.506906387855653051e+01	3.696790385539364010e+00	2.482698076910538276e+01	1.264316116411681652e+09	8.651893470619648197e-01	5.571041566765792652e+00	5.973063126061032291e-01	3.092989994114232033e+00	1.879687923845771436e-01
1.110157372436197420e+03	3.078410656884110197e-01	8.001961388886229543e+01	5.650771939484725559e-01	6.281430041498444972e+00	1.275198331921709727e-01	1.426900649243932895e+00	2.311055767181722509e-01	3.343815493476819967e+01	4.127970432040533666e+01	6.951619286977972489e-01	2.068381924994421528e+00	9.393410296535272819e-01	2.443191710323599608e+01	5.918626963410403841e-01	1.816608489195721265e-01	6.571162142364133274e+01	5.026791197054278371e+01	8.717375242228907473e-01	2.745920995357845129e+01	9.952349182762416646e-01	2.975170191831951172e+01	1.264316116412410736e+09	8.627280024585415319e-01	5.544644769690798114e+00	5.286195123222204195e+00	1.271938848752709017e+00	2.177391480416782654e-01
8.837516596438837269e+02	2.535727540561378834e-01	7.656065587888693358e+01	2.008860908828186354e+00	1.787861634163194324e+00	7.228590700700454619e-02	1.569393343567509369e+00	7.687828220941343715e-02	3.040251845838589162e+01	4.475593307737824489e+01	6.658069372891876059e-01	2.474993849066895013e+00	1.195160357393105555e+00	2.026694478901113072e+01	4.528325832012425889e-01	5.755658150980507148e-01	6.502287786638937916e+01	5.269750745140188286e+01	7.712478301297626126e-01	2.582082431056382177e+01	2.867256587771709775e+00	2.386314842748504361e+01	1.264316116411111116e+09	7.712470710824509412e-01	5.573507255658491033e+00	5.203790353571069893e+00	3.148092901237470098e+00	1.774418234179923615e-01
1.017936326232168426e+03	3.832579747466084985e-01	7.640374092131055761e+01	2.987874168449340839e+00	4.169229691224089152e+00	1.224597749216558285e-01	1.592487969472651033e+00	1.181988340148247968e-01	3.184102948451523574e+01	4.020291851917080805e+01	5.256970930549428322e-01	2.205217276584916508e+00	8.359411447261055894e-01	2.338670861085822494e+01	5.817166880485615810e-01	1.950856401345556768e-01	6.358962713002903655e+01	4.830431486157831245e+01	8.335739339568748463e-01	2.650078606022598393e+01	3.130244793452900964e+00	2.809942605973224872e+01	1.264316116411741018e+09	8.333778319742216611e-01	5.546576218012354786e+00	1.038984897771187965e+00	4.060211221303171136e+00	2.015126423855108928e-01
1.201623208841757787e+03	3.388219466232115229e-01	7.917268120706205536e+01	2.119027367971098474e+00	6.103160318705840304e+00	6.074153855820019210e-02	1.332363496854248153e+00	1.845780056071860964e-01	3.400959539083267913e+01	3.682599228790453338e+01	1.692725334873195209e-01	2.517090958799948819e+00	7.306557511314161202e-01	2.735437337042335670e+01	7.428007141414592063e-01	5.508956322489757529e-01	6.418036565832788654e+01	4.542841907547887104e+01	9.655454952521664858e-01	2.756946253173913064e+01	1.536146754864267550e+00	3.374426213158319143e+01	1.264316116410359383e+09	9.382295395547588512e-01	5.571096780981328322e+00	4.567013563841572754e+00	4.205308156543911657e+00	2.335966053628864836e-01
8.323708567769054980e+02	5.715285146913011705e-01	7.537880758595025554e+01	2.806982585422869381e+00	4.029580651386478252e+00	1.589807380594345787e-01	1.682560608185481366e+00	-1.272229447938533209e-02	2.864143907815292778e+01	4.679250408224733349e+01	2.263621621873553869e-01	1.869071478070056580e+00	3.821334763044847427e-01	1.774028001693693568e+01	3.791265367152564791e-01	4.527015277635170198e-01	6.453278409918426917e+01	5.465691912903380967e+01	8.712807780121780699e-01	2.452031099341622422e+01	3.959820151799867016e+00	2.072188845691644232e+01	1.264316116411766768e+09	8.658447451098120196e-01	5.528253118706210500e+00	6.976049958661115213e-02	3.024062610489899328e+00	1.680699761859968389e-01
9.794812732117052292e+02	4.814838741635423247e-01	7.808767933637935243e+01	2.750418744281667216e+00	4.823466874508708813e+00	4.929296127660287574e-02	1.418174884296542260e+00	-1.028914955603161402e-02	3.071353396029164529e+01	4.556599792495992318e+01	3.886177915123626425e-01	1.346919208989369121e+00	2.767966355365555131e+00	1.979728292859887162e+01	4.344749117796543048e-01	4.076554888424993583e-01	6.536328085355879125e+01	5.443642038988423337e+01	9.368999198716063681e-01	2.570875922184808005e+01	2.289723705676806276e+00	2.365125894649512617e+01	1.264316116409857035e+09	9.260093366629736922e-01	5.578332818304637897e+00	2.533743168831901649e+00	4.634188172497505143e+00	1.946719674510918041e-01
1.173016466640913677e+03	2.527869862155937564e-01	7.929552463517894978e+01	2.208078926662539132e+00	5.071387733193080116e+00	5.906949044476528243e-03	1.337083841375503068e+00	5.440169312886536900e-03	3.221307997500180420e+01	4.290720611017594877e+01	4.649643411135646054e-01	1.205455250600738326e+00	2.772892582554510099e+00	2.163093485944040495e+01	5.041329142684582987e-01	4.061497693438677059e-01	6.453814096961635016e+01	5.271842925779247224e+01	9.794601949483314751e-01	2.621802814291324424e+01	9.648170126552031434e-01	2.657709537738647754e+01	1.264316116409533501e+09	9.528319278982224638e-01	5.589190976405383537e+00	4.106570720537877861e+00	5.704476459656789622e+00	2.286614309592548966e-01
