chirp_mass	mass_1_source	luminosity_distance	mass_ratio	chi_p	total_mass	mass_1	chi_eff	ra	total_mass_source	chirp_mass_source	mass_2_source	phase	a_2	geocent_time	tilt_2	theta_jn	phi_1	psi	iota	phi_2	phi_12	dec	mass_2	a_1	phi_jl	tilt_1	redshift
8.804629669597763097e+01	3.947887643364202148e+01	1.895311624591662985e+04	6.077856716179453889e-01	4.014460828176525942e-01	2.098623850071175525e+02	1.305288314927754243e+02	5.336309290526157767e-01	3.028724512066872876e+00	6.347357186158501463e+01	2.662989339556505897e+01	2.399469542794299315e+01	1.024493112607598677e+00	3.384327474357444743e-01	1.238303737214143515e+09	8.322490190744894489e-01	1.057059531878373065e-01	1.859538546221648048e+00	2.742034680339711539e+00	8.186015756774017715e-02	4.954640801498135794e+00	3.095102255276488634e+00	4.180748216534131423e-01	7.933355351434212821e+01	8.239061666483386004e-01	7.195549863667894952e-01	5.089348125093299258e-01	2.306295499877624611e+00
5.191728317772813739e+01	9.453580664118968002e+01	4.903754036921822262e+03	1.492403716053000984e-01	4.240120050444577404e-01	1.920760488864022761e+02	1.671330503453368692e+02	4.563759048901882553e-01	3.679961991048656955e+00	1.086443655543276208e+02	2.936607830518504514e+01	1.410855891313794430e+01	1.850884584919491260e+00	3.816262243592611902e-01	1.238303737217828274e+09	1.855877694875498918e+00	2.728950813874117531e-01	6.069916623812549261e+00	5.121520213074624017e-01	6.167250889151842941e-01	6.063524479230768094e+00	6.276793162597805953e+00	8.437699947881447393e-01	2.494299854106540337e+01	6.869714674360704043e-01	4.855904912867767820e+00	6.652034740593376627e-01	7.679338261711752267e-01
5.335759023885351127e+01	1.142819900001119038e+02	3.986179230793302395e+03	1.271693138488610153e-01	1.517871728708317380e-01	2.123018600127601871e+02	1.883495739320908626e+02	6.513889704129759428e-01	4.053495059535379141e+00	1.288151522537085327e+02	3.237496887731363415e+01	1.453316225359662539e+01	1.816979180502067415e+00	4.233476453517073246e-01	1.238303737207834482e+09	1.992195144326197598e+00	2.598981976779732861e+00	5.596894376941831339e+00	2.031270410691423223e+00	2.703776931497019476e+00	1.738628274705808607e+00	2.424919204943564832e+00	8.941742715476351799e-01	2.395228608066931386e+01	7.713292197413423867e-01	4.377209443969756641e+00	1.980792412262546154e-01	6.481124797696159456e-01
5.389987889033804436e+01	1.018589529403218421e+02	5.671450412993988721e+03	1.275734502407566417e-01	4.510866549197085074e-01	2.141437572784222425e+02	1.899155724469202369e+02	6.588553354133999118e-01	5.350292352209173430e+00	1.148534510048295658e+02	2.890855740076000657e+01	1.299449806450772016e+01	1.648687377098086770e+00	2.541742047903682300e-01	1.238303737183551311e+09	8.640083785022244500e-01	2.744925824667045156e+00	1.792176107480718983e+00	2.048485966889270204e-01	2.809389901543774659e+00	6.789879762557022858e-01	5.169997175954569535e+00	-4.950272025367707940e-01	2.422818483150199143e+01	8.512035313039481021e-01	5.653386115180984106e+00	5.585296118695224354e-01	8.644956281672159237e-01
7.664273895487549737e+01	1.024032464264436157e+02	6.551381732924300195e+03	2.121512824431447952e-01	5.900141637321902888e-01	2.447664055035557737e+02	2.019272751254432592e+02	6.125294416626007044e-01	1.200500035327166870e+00	1.241282264821550001e+02	3.886778187403362494e+01	2.172498005571139856e+01	4.464524571761201877e+00	2.942517197414649122e-01	1.238303737183281183e+09	1.595484438776886948e+00	2.241900488832115457e+00	4.095019078481675123e+00	2.625959287884955362e+00	2.538131721376532202e+00	4.157626035337724346e+00	6.260695685604791838e-02	-1.217341635327121807e+00	4.283913037811252167e+01	9.495691310034548582e-01	5.202429760728257691e+00	6.704636656800045946e-01	9.718835307676294555e-01
9.188427305219532570e+01	7.915455326052089902e+01	1.295830906272762149e+04	2.666813131132982906e-01	3.835195992138153986e-01	2.696785901872084423e+02	2.129016883689410236e+02	8.537213088031130326e-01	5.863901349198378909e+00	1.002635934629331160e+02	3.416158246951349042e+01	2.110904020241222057e+01	1.296389288640557302e-01	6.540336781870794702e-01	1.238303737159235716e+09	1.404722682079986296e-01	1.779338230697828649e-01	1.093181581671077041e+00	2.152480397118012589e-01	3.435277245780288258e-01	2.799203094273323700e+00	1.706021512602247547e+00	-8.532108946217435985e-01	5.677690181826741878e+01	9.863107867568795539e-01	4.045387740907126606e+00	3.993749398695938257e-01	1.689696038940665890e+00
1.000432764959129628e+02	5.677731794884064698e+01	1.515687840261959718e+04	4.924076713193068500e-01	3.017191411999046169e-01	2.474332091748997300e+02	1.657946511064002379e+02	8.050672709377613145e-01	5.943511436656073954e+00	8.473490486378516096e+01	3.426038705318010358e+01	2.795758691494450687e+01	2.512181212058560487e+00	9.291317422983592644e-01	1.238303737168606043e+09	8.137053967577377867e-01	2.828323517232353979e+00	9.717017349530809867e-01	1.805886927552420973e+00	2.812528857843161312e+00	3.896696660557829706e+00	2.924994925604748719e+00	-1.062938617181028000e+00	8.163855806849947783e+01	9.113244559512113652e-01	9.404301506365595476e-01	2.302931188489530379e-01	1.920085997295433167e+00
6.832173796828904244e+01	9.573997373679013378e+01	5.780236032480891481e+03	2.125891139140978492e-01	4.610331481923303498e-02	2.180171662005873827e+02	1.797947579265767217e+02	6.254153535223043736e-01	4.048715860615374140e+00	1.160932499196533456e+02	3.638104622275509570e+01	2.035327618286321538e+01	5.872529399541164707e+00	2.621989428230011021e-01	1.238303737209892035e+09	1.927920776537799696e+00	2.407853615414582205e+00	5.542093286234278438e+00	2.318962605595299209e+00	2.376408757049897957e+00	5.227481014413350557e+00	5.968573035358660128e+00	7.993888229791533684e-01	3.822240827401066809e+01	7.792228143390707018e-01	1.942195683575247189e+00	5.920033981046281951e-02	8.779486865211738600e-01
5.599770002978406325e+01	1.256954849349339582e+02	5.452038494623213410e+03	9.725858380335671016e-02	6.502868636038003913e-01	2.533869297679464410e+02	2.309272704795324103e+02	6.013174601262177843e-01	3.138477241019899111e+00	1.379204497901818058e+02	3.047997772575121189e+01	1.222496485524783338e+01	4.826780303990489074e+00	4.080778006612559294e-01	1.238303737219968796e+09	1.734023515940783966e+00	2.843865329162701627e+00	5.607390257383690901e+00	1.040362650811081702e+00	2.556108017714114666e+00	1.134806852792180187e+00	1.810601902588075074e+00	4.571822878968883064e-01	2.245965928841402359e+01	9.310008244869141247e-01	6.171551975288219971e+00	7.732733977952315207e-01	8.371962254576724716e-01
5.055066369799570225e+01	6.716491626113564450e+01	8.254213066386970240e+03	1.806930571134687802e-01	1.099729441671079000e-01	1.722369767935122695e+02	1.458778602582734436e+02	6.517185667513638592e-01	3.019156481491990007e+00	7.930115031113037105e+01	2.327447830815129137e+01	1.213623404999473010e+01	1.122312935930252609e+00	8.031770596363575487e-01	1.238303737231388807e+09	1.179802272519661077e+00	2.916634003929497787e+00	2.418693958861203086e+00	1.399879370984219218e+00	2.891922506923068514e+00	4.604007639164379384e+00	2.185313680303176298e+00	5.072291325284967733e-01	2.635911653523882237e+01	7.179781609387616559e-01	5.853277392467118867e-01	1.030407844855525251e-01	1.171935414779699869e+00
