mass_1	phi_12	tilt_2	chi_eff	mass_1_source	mass_ratio	ra	chirp_mass_source	total_mass_source	phi_2	phi_1	chirp_mass	psi	theta_jn	geocent_time	dec	phi_jl	iota	luminosity_distance	total_mass	tilt_1	chi_p	a_1	a_2	mass_2_source	mass_2	phase	redshift
2.086936361075866273e+02	4.174497068911828812e+00	1.533888023941145429e+00	-7.917399272067984772e-02	1.215824362648321966e+02	1.898295985372690786e-01	3.103711847047748051e+00	4.333035482398285154e+01	1.446623813301683867e+02	1.879616661720517001e+00	3.988304899988273533e+00	7.437562184024531575e+01	7.333440302838044600e-01	1.152883122915143943e+00	1.266214786646440983e+09	7.107414852172233566e-02	5.552749941475891404e+00	1.777085360927568525e+00	4.504683809535771616e+03	2.483098652671727109e+02	1.712684822982539101e+00	6.753653591470519801e-01	6.822212019650537584e-01	3.242549063505197893e-01	2.307994506533620083e+01	3.961622915958609070e+01	4.649805720319984736e+00	7.164784858645852905e-01
1.940958624853665242e+02	4.676341003885961634e+00	2.307340397467669391e+00	-1.547212334023272823e-02	9.467295486277004102e+01	3.818035471906188749e-01	3.170564263454366483e+00	4.980129625187521469e+01	1.308194248523929843e+02	4.636892279299455133e+00	6.243736582593079731e+00	1.021012343272513192e+02	1.539583040801542069e+00	2.048580195696975970e-01	1.266214786639958620e+09	2.321069338560928230e-01	4.271730806424232085e+00	3.525512347453023110e-01	7.208539565235710143e+03	2.682023512773020002e+02	1.045233991798002693e+00	2.099946023336579926e-01	2.427565519446183151e-01	5.582349420777057425e-01	3.614646998962295044e+01	7.410648879193550442e+01	1.638379255450029603e+00	1.050172224651819253e+00
1.940585795057799032e+02	7.643887238600126643e-01	1.517544435820954885e+00	7.224897138155124410e-02	1.148121111805110104e+02	3.229973301786240869e-01	3.192926065377037048e+00	5.510554080002483346e+01	1.518961165639874196e+02	5.618603757696743806e+00	4.854215033836730697e+00	9.314089655347997621e+01	1.163603430750967949e+00	1.113677480700187461e+00	1.266214786630504370e+09	-7.206688918153352219e-01	5.957787425072771370e+00	1.270651108140684826e+00	4.303958729776290966e+03	2.567389825844030611e+02	1.387694819036715987e+00	4.398585378700320403e-01	4.473363463913153648e-01	8.221307795110466277e-01	3.708400538347641628e+01	6.268040307862316496e+01	3.979563875224004565e+00	6.902274290616887686e-01
1.936830747917412623e+02	3.545282607624797411e+00	2.704995140495662032e+00	8.863643404959939409e-02	8.812270029833409524e+01	5.974485579227852838e-01	2.997370519099717967e+00	5.890914649922649460e+01	1.407714805118355912e+02	3.875722044389588561e+00	3.304394367647915942e-01	1.294752043310118665e+02	2.725544140767982793e+00	8.202376591424253016e-01	1.266214786644225359e+09	5.042207427998619540e-01	3.996904821186864520e+00	1.132882023269285110e+00	8.480454896171801010e+03	3.093987485201180334e+02	1.343800010109833520e+00	8.885880105010829366e-01	9.119833248430858630e-01	1.175670962504903189e-01	5.264878021350151016e+01	1.157156737283767853e+02	6.900894513138462472e-01	1.197879480951433262e+00
1.862888973316076999e+02	4.994411702415280097e+00	2.618395678295363904e+00	7.226353317145496613e-02	1.064416875102082258e+02	5.205910247764922172e-01	2.903256412441919565e+00	6.616179395657584905e+01	1.618542746900866689e+02	5.353404557542440934e+00	3.589928551271617252e-01	1.157930499783696092e+02	6.459086310030132116e-01	6.136562757969961091e-01	1.266214786632421255e+09	-6.238869466864693791e-01	3.209024604849477935e+00	6.248178148866125881e-01	4.765004480842594603e+03	2.832692252979521186e+02	7.615454573316516873e-01	1.599727624338143639e-01	2.318308665547480218e-01	1.284157909320972069e-01	5.541258717987845017e+01	9.698032796634440444e+01	6.214018823465973007e+00	7.501497927091937967e-01
1.629524145859549265e+02	5.175605148397781186e+00	1.830522133427871845e+00	-5.201748737398383809e-02	1.164189304300090697e+02	6.137368324455156898e-01	3.756815935389681727e+00	7.893077648435813387e+01	1.878695160288177135e+02	5.402150974378360004e+00	2.265458259805788188e-01	1.104799757716642432e+02	2.243457871843170359e+00	1.436730466527943229e+00	1.266214786636624575e+09	3.108165226494639111e-01	1.716569959204815143e+00	1.325118456871588801e+00	2.233293199232825373e+03	2.629623133532873567e+02	1.307939427692938361e+00	3.282746383284169678e-01	3.643032912075436919e-02	5.926296300148843343e-01	7.145058559880862958e+01	1.000098987673324302e+02	5.607241937201378867e+00	3.997071952479560597e-01
3.346592225601188488e+02	5.169843204382982726e+00	1.108330392025527633e+00	1.464128945954764338e-01	1.803181679593948559e+02	3.083864371646420355e-01	2.939297708529124975e+00	8.436250002549518001e+01	2.359258453324481479e+02	2.061956636158113199e-01	1.319537766412414825e+00	1.565715146247372616e+02	9.934727283586385349e-01	9.904046963343929866e-01	1.266214786629995823e+09	5.076492249450852423e-01	2.133224424498215033e+00	6.273150169123167252e-01	5.602470793504641733e+03	4.378635878697228918e+02	1.453212971464056036e+00	4.918815823296465162e-01	4.953016210255684615e-01	9.699899236524146540e-01	5.560767737305329206e+01	1.032043653096040430e+02	4.394983702857155450e+00	8.559373486729271452e-01
2.152010857361892704e+02	6.035939587634609360e+00	2.999250678710519313e+00	5.769158470971886415e-02	1.393309877733252904e+02	1.143194228697264753e-01	2.977220984960808892e+00	3.711229313987864487e+01	1.552592258834407630e+02	1.206506409075181807e+00	1.453752128620159567e+00	5.732110211444748415e+01	9.919662788517199514e-01	8.142712277148166367e-01	1.266214786648497105e+09	1.665472043737885599e-01	5.117430180118778260e+00	1.294186305829263750e+00	3.228476336230306970e+03	2.398027496584889491e+02	1.086227348261095793e+00	3.062021020417358685e-01	3.460396336239208726e-01	8.563535548624687799e-01	1.592823811011546198e+01	2.460166392229968224e+01	4.207903225085287691e-01	5.445314009134527566e-01
1.720384595126917020e+02	4.221540897139421378e-01	2.075988773245550423e+00	2.236837628936758360e-01	6.756849024584951735e+01	7.260685293452512346e-01	2.847646781584558084e+00	4.999414853152175198e+01	1.166278445887324438e+02	4.118919436648729615e+00	3.696765346934787644e+00	1.272918229594455539e+02	3.065375167194009709e+00	2.739486474825477913e+00	1.266214786645110369e+09	2.957617486450898614e-01	7.886131031498359867e-02	2.657626859550537013e+00	1.161791552718905223e+04	2.969501708018943305e+02	7.827337080050154050e-01	5.322600450985461862e-01	7.547430303258191309e-01	4.240485079051065087e-01	4.905935434288291219e+01	1.249117112892026142e+02	6.192010212568261451e+00	1.546134431696279732e+00
1.731023847088191019e+02	5.216105102002930316e+00	8.320980092368891468e-01	2.665003413706901192e-01	8.345050508752436258e+01	8.608568813336986425e-01	3.128165080735129777e+00	6.736664952413731555e+01	1.552894466428925568e+02	5.214972442474845593e+00	6.282052647651501509e+00	1.397394499918340216e+02	3.192119865643130439e-01	2.095594380851147687e+00	1.266214786633202314e+09	-5.105024698485971513e-02	3.262181075591215507e+00	2.106736893982193770e+00	7.413643100668528859e+03	3.221187637606792578e+02	7.047225987412003567e-01	5.101771302092615867e-01	2.791396408144948896e-02	8.188815659265855640e-01	7.183894155536818005e+01	1.490163790518601274e+02	1.072437269970235807e+00	1.074312007186370543e+00
1.526467428562392001e+02	4.176895245004831558e+00	1.407678301784703878e+00	3.169647673839219304e-01	8.509706261979529529e+01	9.361759939496751004e-01	2.926715830834950793e+00	7.167044539894304478e+01	1.647628898000799325e+02	6.027936656340646238e+00	1.851041411335815567e+00	1.285621349597520009e+02	1.321334753035822596e+00	9.192877756758640606e-01	1.266214786636624336e+09	-6.416380150658635984e-01	5.745496052996601044e+00	1.008975873280108626e+00	5.107030634880041362e+03	2.955509590728594276e+02	7.522064559720738064e-01	7.419829839861239451e-01	6.716510334292239426e-01	8.108309669972341149e-01	7.966582718028460874e+01	1.429042162166201990e+02	2.063514523167311765e+00	7.937956746903090943e-01
1.763281513435115357e+02	9.129179221256475962e-01	2.524565624302786748e+00	4.295767048964165696e-02	9.336725828972488728e+01	5.482019477539233909e-01	3.398083922939918011e+00	5.964766245439970049e+01	1.445513711405957054e+02	2.958105198992086571e+00	2.045187276866439419e+00	1.126472196485557902e+02	2.818088759744298510e+00	1.883795669092751535e-01	1.266214786629948854e+09	-6.079820607843569036e-01	6.257470539866286652e-01	1.664298105683082729e-01	5.866211876826526350e+03	2.729915873538731148e+02	7.774069397735412501e-01	3.033895627954873442e-01	4.325278347166810478e-01	5.407347645329493302e-01	5.118411285087083229e+01	9.666343601036160749e+01	4.808557301441968024e-01	8.885437419223923827e-01
1.758976629565483449e+02	9.082595919351287295e-01	1.429572322098935144e+00	1.487317362606796756e-01	6.650029956268231501e+01	7.351834973135187301e-01	3.157174456041616395e+00	4.952129234804546343e+01	1.153902223675717664e+02	1.736258563734477178e+00	8.279989717993485598e-01	1.309870729589514724e+02	2.330569486703613080e+00	5.820289152585133019e-01	1.266214786645387173e+09	4.741884065952115535e-01	6.149646535621950072e+00	7.067022406709597693e-01	1.253900916788231007e+04	3.052147219782181082e+02	1.314902417912688914e+00	8.343913704309950941e-01	8.624758037429919311e-01	3.843741330111093424e-01	4.888992280488945141e+01	1.293170590216697917e+02	1.571159254687215734e+00	1.645065723211509567e+00
1.706416352090333248e+02	6.236764012456271544e+00	1.812594306661512666e+00	-2.080589054112296221e-01	1.108990999906047250e+02	1.859131277383826164e-01	2.649771193158017013e+00	3.905741359840397564e+01	1.315166985332296861e+02	5.603694391695237087e+00	5.650115686418552663e+00	6.009806142729586753e+01	2.022411826681924207e+00	2.739349074348001789e+00	1.266214786649904251e+09	4.739439557046876139e-02	3.401976730327247900e+00	2.687401636738361521e+00	3.186969033813695660e+03	2.023661553331368168e+02	2.562966816167986384e+00	1.525521437055598062e-01	2.789530095640391227e-01	2.964320203374770646e-01	2.061759854262496106e+01	3.172452012410350264e+01	1.047542507404090467e-01	5.387107309571488312e-01
1.652739599322910067e+02	5.358954256231275082e+00	1.886749581986634006e+00	2.434589359586939727e-01	7.914152211374049273e+01	4.975537532448918165e-01	3.340404053749011837e+00	4.802107950761782007e+01	1.185186834789456611e+02	5.523947197389851738e+00	1.649929411585766559e-01	1.002840703397267106e+02	3.063655766767212185e+00	5.268278517127599203e-01	1.266214786653378248e+09	1.743577293194027433e-01	5.815169542455378426e+00	6.364529858212056856e-01	7.533298269353065734e+03	2.475066390102482501e+02	7.365902107577312341e-01	3.723432966108277675e-01	5.542753142345780981e-01	2.975011502444077638e-01	3.937716136520518262e+01	8.223267907795725762e+01	2.395428311195797910e+00	1.088334359993264000e+00
