phi_2	total_mass_source	luminosity_distance	chirp_mass	phi_jl	mass_1	psi	mass_2	tilt_2	a_1	chirp_mass_source	mass_2_source	a_2	iota	mass_1_source	mass_ratio	chi_eff	phase	theta_jn	phi_1	chi_p	dec	phi_12	total_mass	geocent_time	ra	tilt_1	redshift
1.130436262741257636e+00	6.489992599136330398e+01	1.432712465582658297e+03	3.348541825763506097e+01	4.591889216862246492e+00	5.510553360554450109e+01	2.337398020590208070e+00	2.749297494405026043e+01	1.123545156116536381e+00	6.206436192688501441e-01	2.631041655438006188e+01	2.160198858893344465e+01	2.878370616114730440e-01	8.124241966345432386e-01	4.329793740242985933e+01	4.989149572681758071e-01	9.249977128856218256e-02	3.671254508034226927e+00	5.478342742053957659e-01	4.114706003527183853e+00	6.159057909827108102e-01	8.691143192605227386e-01	3.298915566393660459e+00	8.259850854959475441e+01	1.262879936106437206e+09	4.602317321302315634e+00	1.447155992633259780e+00	2.727057433098881156e-01
5.514910456466264321e+00	6.081146989006109038e+01	1.386800402008753963e+03	3.337339816011465388e+01	6.181332483262753641e-01	4.133238934566109180e+01	1.992513343252203251e-01	3.559644124414361244e+01	7.175438460974724597e-01	3.897139069886538798e-01	2.638133690299196843e+01	2.813863018994662113e+01	3.807538385166203132e-01	5.459030051642390635e-01	3.267283970011446570e+01	8.612238926342249412e-01	2.978962987618674271e-02	5.854615440505403612e+00	5.939096180767199362e-01	3.494481818463824663e+00	3.393543628590288130e-01	6.361986597358516571e-01	2.020428638002440103e+00	7.692883058980470423e+01	1.262879936107181787e+09	4.814820934187800106e+00	2.084809855460687533e+00	2.650381700834009147e-01
3.534098356561079513e-01	5.975512776362950973e+01	1.252144862336169126e+03	3.218233238423974285e+01	1.796918699678378140e+00	4.013853687361957157e+01	1.651095655090713876e+00	3.409286911673236631e+01	2.339710756782573675e+00	4.776829853804877291e-02	2.590627723798984761e+01	2.744422960497104214e+01	1.374436384458976868e-01	1.681643638166114285e-01	3.231089815865847470e+01	8.493799667904530226e-01	-6.141759168009699316e-02	5.115735832384714854e+00	1.889710729329123762e-01	4.774559869202573914e+00	8.196858149625788070e-02	-7.258507956099098379e-01	1.862035273633120269e+00	7.423140599035193077e+01	1.262879936070570707e+09	5.239393500440101548e-01	2.316417395811930735e+00	2.422600163116634397e-01
7.879422840570891040e-01	6.380633827547935510e+01	7.151793613253206559e+02	3.149317857731068671e+01	3.037829035464083560e-01	4.147591335360927189e+01	5.979779221061821692e-01	3.166830924794321689e+01	2.402735306517032932e+00	2.490792186087022742e-01	2.747263330174917328e+01	2.762540608974724421e+01	8.170975613928428416e-01	1.105860772256283431e+00	3.618093218573211090e+01	7.635349456430333692e-01	-1.219202168553801952e-01	2.676879388397202852e+00	1.138309164522991024e+00	3.010819130172848190e-02	4.043562313817402054e-01	-5.789007067278637564e-01	7.578340927553608442e-01	7.314422260155248523e+01	1.262879936069534063e+09	6.918429111526975817e-01	1.525274333656562453e-01	1.463472842738204327e-01
6.798888322727245637e-01	6.113278861923343754e+01	1.448930443988046591e+03	3.317229422150580120e+01	8.203236293974953686e-01	4.651533587947797344e+01	8.112646538987645650e-01	3.145358851373492470e+01	1.050622158468052847e+00	4.139385134156396973e-01	2.600927057081295857e+01	2.466169173027462236e+01	6.414092501752534092e-01	2.483479772288381682e+00	3.647109688895881163e+01	6.761982455685520144e-01	4.936382906326946401e-02	3.271714507990493459e+00	2.673557547690725844e+00	1.064458196619515462e+00	3.920479777005287381e-01	-4.195921485279845431e-01	5.898615942832795334e+00	7.796892439321290169e+01	1.262879936068414688e+09	8.846831549370008929e-01	1.897465403885953750e+00	2.754027119365288767e-01
2.807893991715141979e+00	6.533976308012752554e+01	1.228749062951650558e+03	3.388435609137378890e+01	2.523034154286687425e+00	5.054836068506910607e+01	2.919318318133048429e+00	3.035901613856848158e+01	9.519152985146389634e-01	4.975685526862208552e-02	2.736457275038246806e+01	2.451755327779081739e+01	7.140872862433432777e-01	2.221434150333793933e-01	4.082220980233670105e+01	6.005934856664081334e-01	1.660969994884152201e-01	2.960321500859874444e+00	2.613603251489856616e-01	4.310475522404787263e+00	3.252829841480127104e-01	-5.274528447788018326e-02	4.780603776489940060e+00	8.090737682363759120e+01	1.262879936101815224e+09	5.162569606202659145e+00	1.220991877087218791e+00	2.382563543185666211e-01
1.706034361422934964e+00	6.181431716755729155e+01	1.154052545113430142e+03	3.294223432081481207e+01	4.753051355112903664e+00	3.929956370112479647e+01	1.794675027101025666e+00	3.644632193999487413e+01	8.937904426350861131e-01	4.660005570709006006e-01	2.688333106517147186e+01	2.974292907028505084e+01	2.021134586141351275e-01	2.485010132413086215e+00	3.207138809727224071e+01	9.273976224563464932e-01	-2.244208834264821081e-02	4.515868114401457412e+00	2.373946117515616905e+00	3.697428423896002236e+00	4.374230331765963653e-01	-1.520665546133281865e-03	4.291791244706518071e+00	7.574588564111967059e+01	1.262879936068342924e+09	1.502549156276280939e+00	1.922825690224159612e+00	2.253776974644677300e-01
4.313268835589848749e+00	6.377237642546142382e+01	9.707465698474711644e+02	3.137577289993014418e+01	4.095270200695204643e+00	4.921202608313285509e+01	1.637190623720531368e+00	2.687555221463746591e+01	2.207045868891500895e+00	2.756117710226181905e-01	2.629742784273594580e+01	2.252559314960124937e+01	8.045080076295541005e-01	6.019388021623471863e-01	4.124678327586017446e+01	5.461175723437428076e-01	-7.308419758798191668e-02	3.912834560044681886e+00	4.819089587957822718e-01	2.763368371515069200e+00	3.249397692955335870e-01	-7.464726179508907045e-02	1.549900464074780659e+00	7.608757829777032100e+01	1.262879936100218534e+09	5.174019427299562324e+00	1.003671895694955074e+00	1.931118544202784226e-01
2.735549466187016776e+00	6.575306637426945144e+01	7.799454302421034981e+02	3.314266274836732862e+01	5.022502412948277595e+00	3.901719437428572945e+01	1.775432764318054968e+00	3.715205599223949662e+01	1.823008244662577271e+00	1.162927562118976355e-01	2.861038664588394909e+01	3.207149331053262387e+01	1.927584276410674591e-01	2.350292664432948264e+00	3.368157306373682047e+01	9.521970143687356058e-01	-3.106399763266098468e-03	4.961119178576851141e+00	2.293113889559652119e+00	4.027289598073100940e+00	1.764980303829142005e-01	-2.149718771138926510e-01	4.991445175293502956e+00	7.616925036652523318e+01	1.262879936099160910e+09	5.123082422970391292e+00	1.222059938456047545e+00	1.584136613943809280e-01
2.120174751709157590e+00	6.258120943505719680e+01	1.448675901408096024e+03	3.425434335694182408e+01	2.851268035705402770e+00	4.598946267284763678e+01	2.254242319083632928e+00	3.382413552974757209e+01	2.193862849914118840e+00	4.181520318847519735e-01	2.685855899191164298e+01	2.652123644612308340e+01	5.291328718033132539e-01	5.976288891809379278e-01	3.605997298893410630e+01	7.354757712730893848e-01	5.796208835943111176e-02	4.006274245435990977e+00	6.262171031120894460e-01	2.297186096755023499e+00	3.025677971970520130e-01	4.791306724665012062e-01	6.106173962133720323e+00	7.981359820259521598e+01	1.262879936106298685e+09	4.951165454177306913e+00	6.702942289098603457e-01	2.753604304407171743e-01
