mass_ratio	phi_2	phi_jl	geocent_time	theta_jn	chi_p	phi_1	chirp_mass_source	phase	mass_1	a_1	mass_2	phi_12	mass_2_source	iota	mass_1_source	ra	dec	chirp_mass	tilt_1	total_mass_source	psi	luminosity_distance	total_mass	a_2	chi_eff	tilt_2	redshift
8.646168258549602470e-01	8.802198004570538359e-01	3.973935490917695379e+00	1.266238148154785395e+09	2.437881755665205041e+00	4.991251363959274268e-01	8.622681056852670167e-01	2.933672368191235691e+01	6.058963984272612180e+00	6.197869899999999888e+01	5.216135489546820381e-01	5.358782599999999974e+01	1.795169477178638201e-02	3.135154901105826042e+01	2.567511477391560160e+00	3.626062791463358792e+01	4.798314700000000599e+00	1.111704100000000084e+00	5.014397354088927727e+01	1.865504896749896835e+00	6.761217692569184123e+01	2.635042182332050231e+00	4.449260899999999310e+03	1.155665249999999986e+02	8.724090270183872120e-02	-8.860672339546100951e-02	1.753559458127889270e+00	7.092560875093797401e-01
7.083919318247609009e-01	6.183895312939187150e-01	1.498091010302333492e+00	1.266238148154785395e+09	5.063026425663673669e-01	3.189482836395747811e-01	2.131343845203797827e+00	2.526727780065082740e+01	3.355899372039698125e+00	6.551434300000001087e+01	2.538819752969692090e-01	4.640983200000000153e+01	4.770230993269705344e+00	2.450108968599001358e+01	3.675218042097548876e-01	3.458691239308326715e+01	9.951596700000000517e-01	-6.961378200000000183e-01	4.786114139633831854e+01	2.326005015107615481e+00	5.908800207907327717e+01	2.215222573849664478e-01	5.912174300000000585e+03	1.119241750000000053e+02	5.594328836228847912e-01	-2.258941135295339520e-01	2.134931871127503822e+00	8.941946090886577769e-01
5.999871584169316208e-01	4.286621115476132005e+00	4.009321591099883619e+00	1.266238148154785395e+09	2.860751452421404828e+00	2.862324399650821305e-01	4.655102654540218765e+00	2.738644553191525333e+01	2.083816154152128064e+00	7.891550399999999854e+01	8.534019460242810995e-01	4.734828900000000118e+01	5.914703768115499471e+00	2.452538031013757092e+01	2.949829042571444404e+00	4.087650871536630603e+01	3.657866499999999910e+00	1.760647100000000131e-01	5.287181366120917403e+01	3.420315675831746560e-01	6.540188902550387695e+01	1.824309840976268360e+00	6.209901399999999740e+03	1.262637930000000068e+02	7.564192899952640881e-01	2.480042353993831550e-01	2.684076025330140780e+00	9.305832733785814881e-01
7.883519666247174040e-01	4.323232995211622409e+00	1.119182786978983657e+00	1.266238148154785395e+09	6.302095074422134902e-01	6.522165351874613659e-01	5.469266156321706873e+00	2.515957430103343739e+01	5.566732915685943972e+00	5.993609200000000214e+01	2.982030454676268261e-01	4.725073600000000340e+01	5.137152146069501768e+00	2.569697192638787087e+01	4.041263316963722985e-01	3.259581128009097739e+01	4.159348500000000115e+00	8.658629500000000201e-01	4.626258714746636258e+01	1.639492468582326890e+00	5.829278320647884470e+01	1.597583474618269106e+00	5.464611299999999574e+03	1.071868280000000055e+02	9.408658286458523312e-01	-1.838096710150378676e-01	1.999373033012135537e+00	8.387666895288491409e-01
7.078302365398657647e-01	5.204862381326718079e+00	2.159311446279153390e+00	1.266238148154785395e+09	1.298243968963677109e+00	8.820614572114306995e-01	3.966434428214631325e+00	2.859413001349955863e+01	1.211652626244154707e+00	6.128053700000000248e+01	9.269677404565547230e-01	4.337621699999999691e+01	1.238427953112086755e+00	2.771644154701791862e+01	9.597225122213015602e-01	3.915690530897079213e+01	3.904468200000000166e+00	3.816899899999999790e-01	4.474979900604221683e+01	1.883336092961410468e+00	6.687334685598871431e+01	1.947698796832020074e+00	3.375371000000000095e+03	1.046567540000000065e+02	5.279198160535519824e-01	-2.220136497819931165e-01	1.825471394458185515e+00	5.649994941239832036e-01
8.500071136431620600e-01	2.111106296738904931e+00	2.077103865141047834e+00	1.266238148154785395e+09	1.231705309403408721e+00	7.357433209755958048e-01	3.297410529896366072e+00	3.169540696277658398e+01	2.657240004588866888e+00	6.902932699999999500e+01	6.078382369302929300e-01	5.867541899999998378e+01	5.096881074022125091e+00	3.358922907266265412e+01	9.803135417747698144e-01	3.951640937297332812e+01	1.077137599999999917e+00	-5.377964800000000212e-01	5.536719166412857618e+01	1.044658204659117517e+00	7.310563844563600355e+01	4.571001548835700867e-01	4.739371399999999994e+03	1.277047460000000001e+02	8.874001937018901609e-01	1.409821194266144828e-01	1.629742217684157835e+00	7.468522088753232202e-01
4.178634972041929130e-01	2.107337102052792233e+00	1.142610709894497978e+00	1.266238148154785395e+09	1.785558158841129006e-01	1.183619954478275504e-01	1.780402674741850433e+00	2.231886542224032155e+01	2.078983421989076597e+00	7.373523699999998371e+01	1.063873833996781121e-01	3.081126400000000132e+01	3.269344273109415777e-01	1.688156758246463340e+01	1.209243789189411999e-01	4.039971831809776859e+01	4.028450799999999887e+00	7.153774899999999493e-01	4.073510657975999294e+01	2.779871015948238266e+00	5.728128590056240910e+01	8.864868581899746358e-01	5.355740999999999985e+03	1.045465010000000063e+02	3.963932873273215418e-01	-1.397026707445266636e-01	2.208224187407586303e+00	8.251423541972811027e-01
6.391891300332521730e-01	1.767975545866816489e+00	1.912432626613221665e+00	1.266238148154785395e+09	1.297202649249569406e+00	8.855521537616511951e-01	3.123148161755660013e+00	2.493132201491341249e+01	2.305128076485596811e+00	7.081604000000000099e+01	9.150610357471963274e-01	4.526484299999999905e+01	4.928012691290741820e+00	2.301033140137439759e+01	9.308694230480557552e-01	3.599925330422521341e+01	1.515782699999999927e+00	-1.035206800000000094e+00	4.904372549454431862e+01	1.316148250407585651e+00	5.900958470559961455e+01	6.910145237693176012e-01	6.512081399999999121e+03	1.160808830000000000e+02	7.756609394532426593e-01	5.245204297199386467e-02	1.866602553948956356e+00	9.671530240236498877e-01
4.522581437101895752e-01	4.940212321832604836e+00	1.411881706967609063e+00	1.266238148154785395e+09	9.721603113394720053e-01	8.149496835827265695e-01	8.821738619260077741e-02	2.821828977438685726e+01	4.452935499310920697e+00	8.186505099999999402e+01	8.339266298152123724e-01	3.702413599999999860e+01	4.851994935640004059e+00	2.213573828281809597e+01	5.414402734681692531e-01	4.894491915883076416e+01	3.717544800000000205e+00	4.637476599999999782e-02	4.719778418708790468e+01	1.357053637298666349e+00	7.108065744164886723e+01	2.636044078576004424e+00	4.170268499999999221e+03	1.188891870000000068e+02	3.492818399291398590e-01	1.121769722287036808e-01	1.659423217962111563e+00	6.725954891117580381e-01
6.001510628494761690e-01	3.637410230203716566e+00	9.661798520405937563e-01	1.266238148154785395e+09	1.336766639738678819e+00	6.738539475522508093e-01	5.906401708169961573e+00	2.634423458064826562e+01	4.493976095044054375e+00	6.435864300000000071e+01	7.674684867994928661e-01	3.862490799999999780e+01	4.014193829213341225e+00	2.359511039119569276e+01	1.067195998582728400e+00	3.931528552022840017e+01	3.952839099999999828e+00	5.480055700000000529e-01	4.312519077629088571e+01	2.069879693446688762e+00	6.291039591142410359e+01	1.257743615552280092e+00	3.903139500000000226e+03	1.029835510000000056e+02	2.041119731750610511e-01	-2.433314781003642624e-01	1.751708171700603556e+00	6.369878063555294290e-01
