phi_12	total_mass_source	mass_2_source	theta_jn	phi_2	chi_p	mass_ratio	chirp_mass	chirp_mass_source	mass_1_source	dec	psi	luminosity_distance	mass_1	tilt_1	a_1	tilt_2	iota	total_mass	ra	a_2	chi_eff	mass_2	phi_1	phase	phi_jl	geocent_time	redshift
6.226543820298998888e+00	6.373139499964913313e+01	2.796998402805013129e+01	8.309935228843776667e-01	2.145230264101014583e-01	5.733644237697896884e-01	7.821275298746833693e-01	3.893808587438395818e+01	2.749118329413810358e+01	3.576141097159900539e+01	-1.277987244732955663e+00	2.719743052057404409e+00	2.343697260669606294e+03	5.065190815915788392e+01	2.598792058761738577e+00	5.883356682602037813e-01	1.570515378867202605e+00	8.476264953098230359e-01	9.026815997111935985e+01	2.922100948815732124e+00	7.591446381441295799e-01	-2.825862207085258482e-01	3.961625181196147594e+01	2.711645132906888023e-01	6.224461057259169650e+00	3.096160736622369125e+00	1.248617394618494272e+09	4.163844989053874790e-01
4.285272482381180303e+00	6.751358742403606072e+01	2.726212101462356685e+01	2.529106669522366513e+00	1.961009096431608256e+00	2.452510922098438129e-01	6.772951011853950432e-01	4.305792022572887845e+01	2.872940104155710728e+01	4.025146640941249387e+01	-1.638543440932380690e-01	2.219082783202769082e+00	2.905215377862006790e+03	6.032650757731056501e+01	1.677584640085793444e+00	2.466561580204979509e-01	1.089441273373476848e+00	2.473039220140039074e+00	1.011853556310466331e+02	3.002351402616277198e+00	2.359196083308152114e-01	2.843174254123655501e-02	4.085884805373606099e+01	3.958921921230014185e+00	1.841739380444363583e+00	2.323246823390873406e+00	1.248617394621999741e+09	4.987406163966159878e-01
5.503909400498221416e+00	8.131043174901881798e+01	4.027790143384402910e+01	3.999784776247896634e-01	1.197582760482571729e+00	2.703983564164957332e-01	9.816090093510105863e-01	5.036265935182655085e+01	3.539059195577537054e+01	4.103253031517478178e+01	-1.061751542718069707e+00	2.830528634696420465e+00	2.388158849858201393e+03	5.839143208423818976e+01	2.494110245016380567e+00	1.303540104889548412e-01	1.669042091705418285e+00	3.648099120171233167e-01	1.157089878870340556e+02	1.128009619928803886e+00	2.775341646700219544e-01	-6.595299881129487729e-02	5.731755580279586582e+01	1.976858667163936545e+00	4.560863506194662520e+00	2.604380549866148531e+00	1.248617394622746706e+09	4.230521889761129639e-01
2.130960690078246955e+00	6.809677222726928392e+01	2.314522538894883752e+01	2.219526650434006765e+00	1.024441258716394465e+00	2.015973199301553109e-01	5.148927460093080111e-01	4.318950497288236079e+01	2.777783077121288002e+01	4.495154683832043929e+01	-1.270375255580910245e+00	2.530427089480346226e+00	3.302128522571414123e+03	6.989152866912742468e+01	2.469202793860790557e+00	1.244766313152979864e-02	2.298564595481898287e+00	2.216027291569028890e+00	1.058781697883627260e+02	3.514158009717156972e+00	5.746551112232305414e-01	-1.363548085571013591e-01	3.598664111923529418e+01	5.176665875817734630e+00	2.264070323073303470e+00	4.800505623959711726e-02	1.248617394610606432e+09	5.548192127961673048e-01
5.768567812145015239e+00	6.952760211369961496e+01	2.245553342852334211e+01	4.821595441104941093e-01	3.416443274785261774e+00	4.064054423938814331e-01	4.770458162505812894e-01	4.873374219197985013e+01	2.792675957951776411e+01	4.707206868517627640e+01	2.487575719971597543e-01	3.380653905118121139e-01	4.725416709341295245e+03	8.214336694576725506e+01	8.863169326718458585e-01	5.245644737850722050e-01	1.532616939515309751e+00	3.314389007972990964e-01	1.213295164799818053e+02	1.493939310322190295e+00	6.418580020449645707e-01	2.324598010573278584e-01	3.918614953421455738e+01	3.931060769819832768e+00	1.984559341881815930e+00	2.233656689109987603e+00	1.248617394648059607e+09	7.450553850767021036e-01
4.258232269227379518e+00	6.487705286029847684e+01	2.406947907045310586e+01	2.168040841716259326e+00	1.125796024464528422e+00	8.896490639369332154e-01	5.898287213645275751e-01	4.748705545259007010e+01	2.709606695341778959e+01	4.080757378984537098e+01	-1.239484515006016085e+00	4.707342089458478162e-04	4.783635628634831846e+03	7.151707747015358052e+01	1.520132909815439470e+00	8.907920538463650617e-01	2.134652545734585516e+00	2.131893244546738675e+00	1.136999038301021301e+02	3.196478865929911706e+00	4.178449016373150249e-01	-5.447599432853083429e-02	4.218282635994854957e+01	3.150749062416734692e+00	3.047183804988314204e+00	3.141083756719911690e+00	1.248617394613659382e+09	7.525442173665813916e-01
5.180799902774603005e+00	7.870832175835472810e+01	3.633853640079550473e+01	2.375053999007588956e+00	4.026520888426908584e+00	3.532187659220446529e-01	8.576521238928653812e-01	4.757534785430703295e+01	3.413894427256997943e+01	4.236978535755923048e+01	8.706650115296388215e-02	1.577085446238626565e+00	2.193022784312845488e+03	5.904568286599973703e+01	2.641673937873765698e+00	8.246483189907928557e-03	1.688171415482802251e+00	2.345454708594121307e+00	1.096863381827289743e+02	2.735951347773976750e+00	4.238769434302740446e-01	-2.681330805550203797e-02	5.064065531672924436e+01	5.128906292831891811e+00	1.851900825304064080e+00	2.829120836483792090e+00	1.248617394627737999e+09	3.935799383384260830e-01
3.360103224279943124e+00	8.301666227062199255e+01	3.841070819136607639e+01	2.058145686407726327e+00	9.149470210540933124e-02	1.753736568556856779e-01	8.611116830528473542e-01	5.383498491794912866e+01	3.601422178877812996e+01	4.460595407925590905e+01	-5.706509191353101862e-01	8.180361324944781520e-01	2.877932595951882377e+03	6.667812730180182257e+01	1.451178642518810014e+00	1.559831186287020666e-01	1.838729884418533800e+00	2.049295858823651173e+00	1.240954417254684046e+02	3.264034515492475919e+00	2.157466256138893257e-01	-1.642561449268315280e-02	5.741731442366658200e+01	3.014576785005051107e+00	3.513848177541478712e+00	1.944727345453502565e+00	1.248617394610480309e+09	4.948257172871596832e-01
3.839187563166870820e+00	7.612198785098266285e+01	3.450623330062471439e+01	8.501061552675307498e-01	4.787722033841834701e-02	3.626823490173178288e-01	8.291627455383459022e-01	5.042247515428143601e+01	3.296030125232824304e+01	4.161575455035795557e+01	-1.385543820529782089e+00	2.130204071641615293e+00	3.123616565343314505e+03	6.366353674312591693e+01	8.527646929875470905e-01	3.849586502630059082e-01	1.188492582617466597e+00	7.976947289185222223e-01	1.164509696597375665e+02	2.701491174225253644e+00	4.841928639780817556e-01	2.203409017127752612e-01	5.278743291661164960e+01	2.491874964351133315e+00	3.676590415940685919e+00	1.711073030699707065e+00	1.248617394618343830e+09	5.297941231868958933e-01
2.638600622436579890e+00	7.178986414428054275e+01	2.124420342960589991e+01	5.684468061699635699e-01	3.069112850430645523e+00	7.532682978617645242e-01	4.202972743699477376e-01	3.776851792768765392e+01	2.801186155928766652e+01	5.054566071467464639e+01	-1.103190944506722726e+00	1.582568819538945570e+00	1.900464311558860345e+03	6.815093987339959369e+01	2.069248565608337920e+00	8.576205211706133813e-01	1.655896703526138936e+00	3.259105518679319413e-01	9.679459414793963390e+01	1.100819017573400060e+00	5.574474508865216726e-02	-2.900739456784950376e-01	2.864365427454004021e+01	4.305122279940656327e-01	5.843786249095222374e+00	2.207756624242009913e+00	1.248617394625246048e+09	3.483044619419465304e-01
