mass_1	mass_2	chirp_mass	ra	dec	geocent_time	phase	iota	psi	luminosity_distance	total_mass	mass_ratio	chi_eff	chi_p	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	theta_jn	phi_jl	tilt_1	tilt_2	phi_12	a_1	a_2	phi_1	phi_2	redshift
8.524937400000000309e+01	3.467157399999999967e+01	4.641088428811172406e+01	2.328060999999999936e+00	-1.244291899999999895e+00	1.248242631997558594e+09	1.791235899999999992e+00	1.099533400000000105e+00	5.536612100000000147e-01	3.144403499999999894e+03	1.199209480000000099e+02	4.067076668504334136e-01	1.076434832928774010e-01	6.993559494035274104e-01	5.561951406591758484e+01	2.262088279710420480e+01	7.824039686302180030e+01	3.027999749856583733e+01	9.719907282043639407e-01	3.463046037227770046e+00	1.111750162875627890e+00	2.181480675066795438e+00	4.154508745918523260e+00	7.801171536928627193e-01	8.328773294440015018e-01	5.136377783322185309e+00	3.007701222061122337e+00	5.327241784055595231e-01
8.520443699999999865e+01	2.788806699999999950e+01	4.119472524200377705e+01	2.400125000000000064e+00	-1.204312000000000049e+00	1.248242631997558594e+09	4.341053399999999840e+00	2.273698200000000003e-01	3.323743299999999845e+00	3.007563599999999951e+03	1.130925039999999910e+02	3.273076846925236927e-01	1.299510985803679075e-01	1.139602515998415777e-01	5.630167838487388821e+01	1.842797199645617923e+01	7.472965038133006033e+01	2.722079099857842976e+01	2.344993007435355326e-01	2.866512895965831031e+00	2.258769058236242688e-01	2.007284542525152649e+00	4.389226348782075959e+00	2.400437089217141717e-01	4.441711344087360125e-01	2.611411699646989604e+00	7.174527412494793310e-01	5.133551866349189696e-01
8.470649699999999882e+01	3.278985200000000333e+01	4.489405483922343620e+01	2.603403099999999970e+00	-1.204683600000000077e+00	1.248242631997558594e+09	3.197375699999999821e+00	4.276617899999999861e-01	5.637541100000000027e-02	2.995409799999999905e+03	1.174963490000000093e+02	3.870996105528954345e-01	2.612135892979376428e-01	7.630446116260738432e-01	5.603669342315036772e+01	2.169178220077350261e+01	7.772847562392387033e+01	2.969919045935359492e+01	4.514007921786367117e-01	2.677511173237273834e+00	1.088390919406809099e+00	2.380068565093786503e+00	5.706332770103968777e+00	8.613392801032021540e-01	1.329726085255166224e-01	3.442038108925341344e+00	2.865185571849723445e+00	5.116255407926214582e-01
8.470649699999999882e+01	3.278985200000000333e+01	4.489405483922343620e+01	2.442981099999999905e+00	-1.245573299999999994e+00	1.248242631997558594e+09	2.478330600000000050e+00	9.119356199999999468e-01	5.030327700000000180e-01	3.595372899999999845e+03	1.174963490000000093e+02	3.870996105528954345e-01	2.612135892979376428e-01	7.630446116260738432e-01	5.309786610070869983e+01	2.055416328877412369e+01	7.365202938948281997e+01	2.814162545962630801e+01	1.083701436467223278e+00	2.556013927990269607e+00	1.088390919406809099e+00	2.380068565093786503e+00	5.706332770103968777e+00	8.613392801032021540e-01	1.329726085255166224e-01	3.442038108925341344e+00	2.865185571849723445e+00	5.952900412107036132e-01
8.455564900000000250e+01	3.807480199999999826e+01	4.863495332365423707e+01	1.749731900000000007e+00	-6.922541500000000125e-01	1.248242631997558594e+09	4.075053399999999826e+00	1.149118499999999932e+00	5.921925599999999790e+00	3.326284500000000207e+03	1.226304509999999937e+02	4.502928243150259302e-01	2.010660089630380565e-01	7.404177310608687224e-01	5.426557115893138672e+01	2.443539730022322942e+01	7.870096845915460904e+01	3.121262212056424090e+01	1.089956240676944299e+00	3.249878388453372846e+00	1.076802787121923677e+00	2.275240659363610973e+00	1.745853218503629734e+00	8.409572244811355235e-01	3.673745872908289467e-01	2.393149615818890297e+00	4.139002834322520030e+00	5.581822358849948262e-01
8.455564900000000250e+01	3.807480199999999826e+01	4.863495332365423707e+01	1.696190000000000087e+00	-5.981924800000000264e-01	1.248242631997558594e+09	4.175488999999999784e+00	1.002134099999999917e+00	6.004219299999999926e+00	3.877659299999999803e+03	1.226304509999999937e+02	4.502928243150259302e-01	2.010660089630380565e-01	7.404177310608687224e-01	5.176145844710591604e+01	2.330781331481217933e+01	7.506927176191808826e+01	2.977229960755507321e+01	9.212769341219747554e-01	3.286152577178066636e+00	1.076802787121923677e+00	2.275240659363610973e+00	1.745853218503629734e+00	8.409572244811355235e-01	3.673745872908289467e-01	2.393149615818890297e+00	4.139002834322520030e+00	6.335638820224872569e-01
8.455564900000000250e+01	3.807480199999999826e+01	4.863495332365423707e+01	1.638288699999999931e+00	-3.881844600000000090e-01	1.248242631997558594e+09	8.414334700000000167e-01	2.095466500000000121e+00	1.546637800000000063e+00	3.045856099999999969e+03	1.226304509999999937e+02	4.502928243150259302e-01	2.010660089630380565e-01	7.404177310608687224e-01	5.567286599882163500e+01	2.506909206832137116e+01	8.074195806714300261e+01	3.202207387996924126e+01	2.119304896950203076e+00	6.261796560132575351e+00	1.076802787121923677e+00	2.275240659363610973e+00	1.745853218503629734e+00	8.409572244811355235e-01	3.673745872908289467e-01	2.393149615818890297e+00	4.139002834322520030e+00	5.187946135517739199e-01
8.447978999999999417e+01	3.918484099999999870e+01	4.937117321004883053e+01	2.988182500000000186e+00	-1.189665699999999937e+00	1.248242631997558594e+09	4.773267699999999891e+00	1.748397100000000037e+00	6.007016199999999806e+00	2.353076900000000023e+03	1.236646309999999858e+02	4.638368655982691435e-01	-1.302399137922702170e-02	6.979993883574773239e-01	5.958540234927268386e+01	2.763790626109838655e+01	8.722330861037106331e+01	3.482254418691609743e+01	1.961070669484159090e+00	5.487732754856494699e-01	1.457155748135690931e+00	2.116236582344423134e+00	6.244489951729529587e+00	7.025308136539752946e-01	4.102847156886350599e-01	5.296080660187771905e+00	5.257385304737715259e+00	4.177933968592422720e-01
8.436859900000000323e+01	3.725744999999999862e+01	4.802098444902043894e+01	2.505211800000000100e+00	-1.231824899999999889e+00	1.248242631997558594e+09	2.950203899999999990e+00	6.945799599999999963e-01	4.999300899999999714e+00	2.906819899999999961e+03	1.216260489999999947e+02	4.416032794381236082e-01	6.965524434027065004e-02	5.687325642534749592e-01	5.628435891311595185e+01	2.485535747710438770e+01	8.113971639022032889e+01	3.203597494951677760e+01	3.932664982918236962e-01	4.991383676613669884e+00	1.374479549371526499e+00	1.669786687590798513e+00	4.345533299657694526e-01	5.798709151611053381e-01	2.908441113907702102e-01	5.031099152257443308e+00	5.465652482223212871e+00	4.989705955474528776e-01
8.436859900000000323e+01	3.725744999999999862e+01	4.802098444902043894e+01	2.474969199999999869e+00	-1.224340599999999890e+00	1.248242631997558594e+09	5.689785999999999788e+00	3.709364900000000076e-01	2.328554399999999802e+00	3.476120499999999993e+03	1.216260489999999947e+02	4.416032794381236082e-01	6.965524434027065004e-02	5.687325642534749592e-01	5.343425084717093654e+01	2.359674040843002274e+01	7.703099125560095217e+01	3.041374823560899543e+01	6.743617629372926636e-01	1.434421649497307660e+00	1.374479549371526499e+00	1.669786687590798513e+00	4.345533299657694526e-01	5.798709151611053381e-01	2.908441113907702102e-01	5.031099152257443308e+00	5.465652482223212871e+00	5.789235866954590692e-01
