luminosity_distance	ra	dec	mass_1	mass_2	a_1	a_2	theta_jn	tilt_1	tilt_2	mass_ratio	total_mass	chirp_mass	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	chi_eff	chi_p	redshift
4.876864779428494501e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.753091878603347586e+00	1.091747139733328265e+00	5.091912263727457061e-02	7.254179295189286392e-02	3.025729476235945015e+00	9.173323726740600925e-01	9.181155387080459640e-01	6.227552320892051352e-01	2.844839018336675629e+00	1.197690225375785733e+00	1.734140844091523581e+00	1.079945283837586922e+00	2.814086127929110503e+00	1.184743117997903550e+00	3.598316632965174733e-02	4.042890189809746071e-02	1.092819800444285588e-02
3.371797399686331431e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.603916496638311706e+00	1.185203693284323734e+00	1.451992443461012638e-01	1.449229709931320331e-01	2.417246779711630822e+00	8.034558483360084713e-01	2.530388578780016218e+00	7.389435146832279422e-01	2.789120189922635440e+00	1.197543793628160103e+00	1.591858441566441407e+00	1.176293471689272119e+00	2.768151913255713747e+00	1.188540800613991255e+00	7.532527927778619355e-03	1.045085377153193856e-01	7.574828739171391226e-03
4.415668279539892183e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.725553581175125251e+00	1.107638105177360055e+00	4.047158490386323915e-01	6.529290485672800681e-01	2.744407318719352507e+00	1.914333762043694431e+00	1.018315455120808677e+00	6.419030491206442202e-01	2.833191686352485306e+00	1.197679485198794858e+00	1.708633971425048692e+00	1.096777356088854516e+00	2.805411327513903430e+00	1.185935851320189860e+00	5.093880225681846063e-02	3.810679298205228438e-01	9.902419144789099958e-03
3.685095630047862159e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.600124190305626248e+00	1.187770599327847121e+00	3.912508371783859906e-01	4.135257095190359999e-01	2.445038120959864614e+00	1.594032366009148660e+00	1.514745465991151008e+00	7.422990081169769105e-01	2.787894789633473369e+00	1.197502644308102049e+00	1.586992988070899280e+00	1.178023320933625939e+00	2.765016309004525219e+00	1.187675501206149065e+00	4.652500738202339919e-03	3.911452211224432651e-01	8.274266070128443590e-03
3.648185485070337819e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.786220126559182386e+00	1.073321982114173068e+00	2.586271112004506767e-01	4.225528045767615315e-02	2.404123464716524605e+00	1.280649799174619075e+00	2.099247226728775839e+00	6.008900953219725727e-01	2.859542108673355454e+00	1.197676980071731068e+00	1.771706478905682891e+00	1.064600874992192248e+00	2.836307353897875139e+00	1.187945446184609954e+00	3.822209743672910082e-02	2.478170062390845640e-01	8.191903019096020283e-03
3.909878137747431737e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.465263837817384340e+00	1.292302826707045993e+00	5.000144612681666212e-01	6.469344570823738483e-01	2.494815741634307749e+00	1.481423053186915473e+00	1.670873448924478089e+00	8.819591348354189897e-01	2.757566664524430333e+00	1.197465118190448541e+00	1.452517070973723401e+00	1.281060699249662038e+00	2.733577770223385439e+00	1.187048012225609517e+00	-6.576789958838515950e-03	5.576314094851624326e-01	8.775639955209428925e-03
4.535878129903741751e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.750837288864240282e+00	1.092912107582803438e+00	7.458337662965273118e-01	1.734147481379074707e-01	2.992115814639795701e+00	1.508570954265461728e+00	1.716449292062679710e+00	6.242225445699584041e-01	2.843749396447043942e+00	1.197623613767680117e+00	1.733210641934731511e+00	1.081909157184229198e+00	2.815119799118960930e+00	1.185566474747058008e+00	1.888207003790418753e-02	7.443902990973612077e-01	1.016993924629528735e-02
3.908122295105111021e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.720191800994900211e+00	1.110860518194800362e+00	9.196820769044136701e-02	9.556174684398680008e-02	2.526924600427428835e+00	3.491514170193170674e-01	2.145610009879717506e+00	6.457771264531760869e-01	2.831052319189700572e+00	1.197711622202406234e+00	1.705233957287857871e+00	1.101201084867730939e+00	2.806435042155588810e+00	1.187296979346504910e+00	3.212336179271303022e-02	4.870409030332190081e-02	8.771725218768377727e-03
4.669327825120731035e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.574117758923184507e+00	1.206893074969352497e+00	2.485241618019527476e-01	3.409711763219693270e-01	3.006785776859453474e+00	9.393112405073236193e-01	1.976505716123300616e+00	7.667107928411649453e-01	2.781010833892537004e+00	1.197796589608448370e+00	1.557812455746966585e+00	1.194391623043598916e+00	2.752204078790565500e+00	1.185389362495804733e+00	2.464324601800135447e-02	2.313097995415704378e-01	1.046679471335935745e-02
4.259722848713445131e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.569833593690675544e+00	1.209471061803376379e+00	3.273330348799711187e-01	3.234423544830131725e-01	2.601738921704193963e+00	1.599730528225144832e+00	1.494345936376907380e+00	7.704453941260821503e-01	2.779304655494051701e+00	1.197518493966601261e+00	1.554975470325295595e+00	1.198023689091162414e+00	2.752999159416457786e+00	1.186184249631920817e+00	5.401284406023298436e-03	3.271960247925384535e-01	9.555213988212730297e-03
3.182109670687663439e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.638168670690621331e+00	1.162035078619096273e+00	5.268229187651959911e-02	1.467442367663210345e-01	2.189108240903365754e+00	1.149972355356572828e+00	1.474637010802918979e+00	7.093500806172809980e-01	2.800203749309717605e+00	1.197591723810137232e+00	1.626537311905954741e+00	1.153784373327504609e+00	2.780321685233459128e+00	1.189088558497306325e+00	1.843711295498015948e-02	9.869788766073600561e-02	7.150994139222622940e-03
4.427463811199424981e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.578139928713779616e+00	1.203443141387490645e+00	3.861750025185893553e-02	1.962435228188797592e-02	2.685848970238929656e+00	1.207589533726977749e+00	1.734273228434014991e+00	7.625706184167867496e-01	2.781583070101270039e+00	1.197524048690466136e+00	1.562625132809145390e+00	1.191612013879883358e+00	2.754237146689028748e+00	1.185751112166728127e+00	6.402147890643108269e-03	3.609818501203166524e-02	9.928674241110617762e-03
4.047577190393629110e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.838199240433820991e+00	1.046179526602244669e+00	1.292347144785224444e-01	3.620575052750358847e-01	2.642082953782989740e+00	1.373676580258990088e+00	1.274980419207983440e+00	5.691328249898215397e-01	2.884378767036065661e+00	1.197812446314726609e+00	1.821653903895322779e+00	1.036763032477681978e+00	2.858416936373004535e+00	1.187031128599895125e+00	5.441248061433161948e-02	1.822282987933082632e-01	9.082590553078582693e-03
