luminosity_distance	ra	dec	mass_1	mass_2	a_1	a_2	theta_jn	tilt_1	tilt_2	mass_ratio	total_mass	chirp_mass	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	chi_eff	chi_p	redshift
3.971378591064820540e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.389021554052216834e+00	1.362346323455420061e+00	3.535170232856150313e-02	3.287424169276768893e-02	2.558555041098499405e+00	1.571889370198687352e+00	1.633995920138795466e+00	9.807956683472789372e-01	2.751367877507636894e+00	1.197534883123576588e+00	1.376750917629714799e+00	1.350311336404365736e+00	2.727062254034080535e+00	1.186955842711133524e+00	-1.047570815142655470e-03	3.535168121044855727e-02	8.912749768583826115e-03
4.237160252923817438e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.429069003712126307e+00	1.324448224230418969e+00	1.599876271114322041e-02	3.536311665374408664e-02	2.615965267439345876e+00	2.520180089498466725e+00	1.365257801031063201e+00	9.267909532640158377e-01	2.753517227942545276e+00	1.197499529193290613e+00	1.415613647113013851e+00	1.311977921461420227e+00	2.727591568574434078e+00	1.186224508077647677e+00	-3.279479239091764690e-03	3.173793793470278124e-02	9.504963890785587607e-03
3.075051337138431862e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.628593343973705920e+00	1.168367867783164371e+00	2.988064455753436377e-02	1.937493942321671589e-02	2.188579472161817030e+00	1.532391341401947438e-01	2.043836494039819485e+00	7.174092121317351411e-01	2.796961211756870291e+00	1.197562166650603777e+00	1.617414319163286374e+00	1.160347932401520232e+00	2.777762251564806384e+00	1.189341835146398019e+00	1.350746298389094574e-02	1.180504216140819060e-02	6.911664301452805949e-03
2.775752561585352396e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.474913613809854418e+00	1.284211070670769672e+00	2.904354495894206217e-02	6.276131415454435508e-03	2.176310292265793311e+00	1.450023338717861821e+00	1.942306903404515728e+00	8.707025676937916181e-01	2.759124684480624090e+00	1.197533112988251158e+00	1.465764134683071651e+00	1.276244595702019202e+00	2.742008730385090853e+00	1.190104336063062540e+00	8.100493020481279059e-04	2.883198606016265306e-02	6.242122392195859244e-03
3.795471410952613667e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.429621085984736251e+00	1.324223927984697680e+00	3.505712821783882327e-02	1.300080190741616411e-02	2.438079597945836952e+00	1.461130059341803733e+00	1.516053947742689978e+00	9.262761587435316413e-01	2.753845013969433708e+00	1.197626857599087824e+00	1.417542903379584773e+00	1.313036195396594996e+00	2.730579098776179769e+00	1.187508682915792813e+00	2.333922623777283725e-03	3.484652880216104753e-02	8.520505853019113077e-03
3.565021128401573947e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.457456839933112036e+00	1.299458652165626171e+00	1.071221885504365125e-02	3.421000620416274340e-02	2.398260177838659413e+00	1.146771072692999383e+00	1.250625879053243850e+00	8.915932304556359878e-01	2.756915492098737985e+00	1.197650802825362959e+00	1.445880701923373923e+00	1.289137445881323396e+00	2.735018147804697097e+00	1.188138225436370599e+00	7.404876377564980489e-03	2.848117613938261350e-02	8.006288481711688193e-03
4.008930363858210910e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.388617584627825696e+00	1.362536138817418641e+00	1.462514904359275662e-02	3.667204270859520526e-02	2.614379865827703320e+00	1.118740014498070812e+00	2.055854608120345262e+00	9.812176900975962957e-01	2.751153723445244559e+00	1.197444635771832688e+00	1.376236337957524869e+00	1.350387440559057683e+00	2.726623778516582775e+00	1.186767932859782881e+00	-5.243769184530835611e-03	3.174640263510577348e-02	8.996453827600453187e-03
4.056698169805522269e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.379046382146576821e+00	1.372032351222976176e+00	9.964571942670292712e-03	1.524752990013590603e-02	2.693221970949258193e+00	1.596372990082700616e+00	2.544221051355533003e+00	9.949138542297012444e-01	2.751078733369553220e+00	1.197471900167138559e+00	1.366606281086770069e+00	1.359655522330556865e+00	2.726261803417327378e+00	1.186669746122710922e+00	-6.415127644579091126e-03	9.961312879725398375e-03	9.102915178989284817e-03
4.553590293172972281e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.419983814300260550e+00	1.333091497735967579e+00	1.699742398389351636e-02	6.440821373148221743e-03	2.714678231478771409e+00	1.212696618652588931e+00	9.187154049600985140e-01	9.388075302765955810e-01	2.753075312036227906e+00	1.197629246865032915e+00	1.405633219890711993e+00	1.319619051640338325e+00	2.725252271531050319e+00	1.185525804979505216e+00	4.965371000464064224e-03	1.591918486905435914e-02	1.020934494609066455e-02
2.256269684870622427e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.477420539856042270e+00	1.282144397104086231e+00	5.033329304266843940e-03	1.217457235136864754e-02	1.941501900468399544e+00	2.303918451722555716e+00	6.188854098728348019e-01	8.678262976017759867e-01	2.759564936960128279e+00	1.197557897671278626e+00	1.469955507951112850e+00	1.275666046104552143e+00	2.745621554055664770e+00	1.191506940836072115e+00	2.804078515539000158e-03	6.006606491712061964e-03	5.078406703162456799e-03
