dec	chirp_mass	theta_jn	ra	a_1	mass_1_source	geocent_time	mass_2	chi_eff	mass_2_source	phi_12	phase	a_2	chirp_mass_source	mass_ratio	total_mass	mass_1	total_mass_source	chi_p	tilt_1	phi_1	tilt_2	iota	luminosity_distance	phi_2	phi_jl	psi	redshift
-1.131990562509556320e+00	3.188220549031374773e+01	2.466608355125583074e+00	1.019977302577160572e+00	1.243689714552348863e-01	3.468462559030087533e+01	1.126259462414501667e+09	3.615825544682927273e+01	2.076201406145154749e-02	3.380874356676317660e+01	4.244306469207292237e-02	1.592166640742986194e+00	2.057364120659510853e-01	2.981054523910632170e+01	9.747472544785772408e-01	7.325326164530423512e+01	3.709500619847496239e+01	6.849336915706405193e+01	1.915180224554486887e-01	6.610446900737885212e-01	2.414392885481415618e+00	1.859890628422231185e+00	2.415170022824356000e+00	3.228431021371837915e+02	2.456835950173488214e+00	8.436081588116656205e-01	1.688280597250884973e+00	6.949420866310630773e-02
-1.132470813190375569e+00	2.936695121056141744e+01	2.620946274453744174e+00	1.046487594004418042e+00	2.550391026758774271e-01	3.666570068562474916e+01	1.126259462414723635e+09	2.907593073630691549e+01	-1.255809138670342662e-01	2.711616581456380004e+01	1.774734148934613565e+00	3.340032146412854619e+00	8.451440713367536217e-01	2.738757103652851654e+01	7.395512783748610097e-01	6.839156926809377524e+01	3.931563853178685974e+01	6.378186650018854920e+01	5.988219418301996555e-01	2.554938353369015758e+00	5.275641237669574934e+00	1.580489697109491942e+00	2.535723886386481052e+00	3.364002084433438426e+02	7.671900794246022670e-01	4.358517556809635707e-01	1.254117434040482815e+00	7.227293619404515090e-02
-1.046471327417966446e+00	3.148559777035714546e+01	2.738328807802814069e+00	1.018923384664219611e+00	2.973690366382563122e-01	4.080931524004694921e+01	1.126259462416125298e+09	2.986723289392022451e+01	2.326542797866692699e-02	2.762009544408516604e+01	2.135555348181544133e+00	2.595032493347995572e+00	1.832440549867042634e-01	2.911669851104159079e+01	6.768085982727062300e-01	7.399674450199502473e+01	4.412951160807480022e+01	6.842941068413212236e+01	2.684569388576767968e-01	1.126175172549118475e+00	1.262797029029501417e+00	2.369918918796118046e+00	2.671516841443649426e+00	3.810664614803396262e+02	3.398352377211044661e+00	7.987381766423842233e-01	2.790767048762324620e+00	8.135878655395027692e-02
-1.257722252980910227e+00	3.134413969451750148e+01	2.668201190962955494e+00	1.547358563194563885e+00	7.950493548314542247e-01	3.843945346710667366e+01	1.126259462411137104e+09	3.063034918174517429e+01	-2.485796566861186996e-02	2.767072959046953073e+01	3.841545222163709195e+00	1.732393471927797135e+00	1.885492653197450852e-01	2.831555097810610278e+01	7.198523156461593686e-01	7.318122873854777310e+01	4.255087955680259881e+01	6.611018305757620794e+01	7.943473717478518603e-01	1.528770793201443823e+00	2.274323951042120484e+00	2.166490839396359114e+00	2.517443310925255862e+00	5.096545803304743458e+02	6.115869173205829235e+00	4.545259972141462712e-01	1.490197724701448179e+00	1.069584949539967716e-01
-1.228946386180278960e+00	2.992459241766972866e+01	2.700210865231930324e+00	1.203711273770011303e+00	6.801519510106198707e-01	3.337307289278778200e+01	1.126259462413050890e+09	3.278031030471640150e+01	-1.036280338536888501e-01	3.033585209774276592e+01	1.038073709603843264e+00	6.692260379433323525e-01	3.097887381843311139e-01	2.769308774777070425e+01	9.089918748326771825e-01	6.884258018006643454e+01	3.606226987535003303e+01	6.370892499053054792e+01	6.800033435139858362e-01	1.591700851164518093e+00	3.434557287422752569e+00	2.281051261760677296e+00	2.500563437469862205e+00	3.772169929209133556e+02	4.472630997026595168e+00	9.987062135275166508e-01	1.546532125155759996e+00	8.057984325271429216e-02
-1.282392303468355532e+00	3.044586790095701900e+01	2.669581496067273019e+00	1.780537216548680135e+00	2.047069995930279329e-01	3.495263696650992102e+01	1.126259462409540892e+09	3.207229390539442448e+01	-6.982708792881693605e-02	2.935008710502781781e+01	2.765132778376190981e+00	4.588797628802256945e+00	1.217517048047307010e-01	2.786170760086983123e+01	8.397102379757436230e-01	7.026677154176317686e+01	3.819447763636875237e+01	6.430272407153773884e+01	2.019831725116578713e-01	1.734109477191790871e+00	5.913690187492969486e+00	2.767853939509872685e+00	2.621665772285143081e+00	4.377871314263653630e+02	2.395637658689572902e+00	1.101743122278306730e+00	1.331221679361213717e+00	9.274953054228858573e-02
-1.277209068432264338e+00	2.828363187757456743e+01	2.703412613372280671e+00	2.011016273742995963e+00	1.948942956982685215e-01	3.229753838913727293e+01	1.126259462408957005e+09	3.008864836005079368e+01	-2.655000296625022460e-01	2.766770265305709486e+01	5.784093146672631747e+00	3.741483469374694004e-01	8.090715338540496182e-01	2.600791858022628489e+01	8.566505075310215656e-01	6.521224671846442789e+01	3.512359835841363065e+01	5.996524104219437135e+01	3.049529430994471491e-01	8.672760127262584273e-01	6.242125637055319309e+00	2.675047155764216367e+00	2.723226335246158758e+00	4.115513766244324643e+02	5.743033476548364824e+00	3.434316194641697795e+00	7.548951622072979095e-01	8.750078520618326250e-02
-1.269184464962394454e+00	3.044417742298481500e+01	2.921035891478045432e+00	1.551000585505960316e+00	5.942419337508969557e-01	3.569113759458140578e+01	1.126259462411296844e+09	3.111995074518214111e+01	-3.923722002832160521e-02	2.818446112001907977e+01	2.377525298017462152e+00	4.440585886442841718e-02	7.578824413795154369e-02	2.757243229383704275e+01	7.896767382471444607e-01	7.052841909421758260e+01	3.940846834903544504e+01	6.387559871460048555e+01	5.934946474247944082e-01	1.620952268686005615e+00	6.276762149467324470e+00	2.312488825466655573e+00	3.029086176874397296e+00	4.953664397753868798e+02	2.371102140305200834e+00	4.175435740385877281e+00	3.490397319669318876e-01	1.041527674651200192e-01
-1.275813933372375253e+00	2.949551856450321452e+01	2.449189420573388620e+00	1.876050400958035880e+00	6.530854949002028176e-02	3.350103211353454924e+01	1.126259462409294605e+09	3.179421735296618934e+01	-1.563047666399823565e-01	2.947643423321505551e+01	2.069421612835630420e+00	4.232905174994985309e+00	5.994591346155913048e-01	2.734530947842442572e+01	8.798664510788746229e-01	6.792949369402994364e+01	3.613527634106375785e+01	6.297746634674960120e+01	4.575338468161104788e-01	2.367529325121169315e+00	4.954394374013002533e+00	2.058439975282081669e+00	2.333088408082034437e+00	3.676061205874361804e+02	7.406306796690467209e-01	1.750259583302553823e+00	1.149958494475846971e+00	7.863173345232429834e-02
-1.233856151815803770e+00	3.033179011236824607e+01	2.733519563500969252e+00	1.369428474735457257e+00	5.633959649136496134e-02	3.251712573979487075e+01	1.126259462411983490e+09	3.397817865150381778e+01	-4.090618322465335716e-02	3.092069410024873832e+01	1.952944496586785372e-01	2.900232061769902447e+00	1.227752229089713598e-01	2.760242134214509591e+01	9.509048969358200321e-01	6.971064649449687067e+01	3.573246784299306000e+01	6.343781984004360197e+01	9.124814923118182430e-02	1.709864899256047233e+00	4.639671308343732647e+00	2.235296679192480873e+00	2.770880301238716203e+00	4.686514104484837731e+02	4.834965758002411462e+00	4.534728696775762735e+00	4.489051346849092794e-01	9.888149798133040458e-02
-1.229448517492658155e+00	3.000185959311987460e+01	2.861889835679096272e+00	2.284160447629972168e+00	7.758553741300546758e-01	3.436039680713786026e+01	1.126259462407795429e+09	3.127820840210649322e+01	-1.177117047767512192e-01	2.824892857310228678e+01	1.119348507099391155e+00	5.243852434185133582e+00	2.819945040492652377e-01	2.709619354825991167e+01	8.221362730954839826e-01	6.932324962664543477e+01	3.804504122453894155e+01	6.260932538024014349e+01	7.643513488089312968e-01	1.743216317444371555e+00	4.928381931904340263e+00	1.929437535160463124e+00	2.691626543137201732e+00	5.110663288390206276e+02	6.047730439003731640e+00	3.641658078818920119e-01	1.814265120295975642e+00	1.072352114581998639e-01
-1.216449245710841343e+00	3.094265058776488431e+01	2.557481543565986115e+00	2.349494312507147242e+00	2.654309365246072458e-02	3.605933400985026793e+01	1.126259462407198191e+09	3.168254940035168943e+01	-3.070795009350405641e-02	2.857312446069031964e+01	5.447741548900234321e+00	2.101287390438963065e+00	5.070728249388015696e-01	2.790584164221469621e+01	7.923919075400850387e-01	7.166598322756925654e+01	3.998343382721756711e+01	6.463245847054058402e+01	3.816358182301136104e-01	6.382270910924272567e-01	2.147128104057555831e+00	1.762001003105782893e+00	2.533523103075564276e+00	5.191779148894358968e+02	1.311684345778203920e+00	1.594672816116322889e-01	1.229297433776279425e+00	1.088234135521015111e-01
-1.253260897421236475e+00	3.035919212161086023e+01	2.217718097516637066e+00	2.118798305814550531e+00	6.928057801545272065e-01	3.519044738043279352e+01	1.126259462408620358e+09	3.201602767357469048e+01	-1.469882719468884602e-02	2.961570934761382290e+01	4.032194768928285988e+00	4.029612589214224272e+00	5.721910996196689636e-01	2.808309072783876559e+01	8.415837692385026436e-01	7.005861932496077316e+01	3.804259165138608267e+01	6.480615672804661642e+01	6.419106078487596401e-01	1.956490239283529275e+00	5.630745960495898039e+00	1.064395778347092092e+00	2.276587953830720323e+00	3.795341864700162091e+02	3.379755422244596907e+00	5.825931042222840972e+00	1.163008950440130862e+00	8.104882100871457773e-02
