total_mass_source	phi_1	phi_jl	theta_jn	iota	a_1	mass_1_source	mass_ratio	dec	luminosity_distance	tilt_1	ra	psi	chirp_mass	geocent_time	chirp_mass_source	a_2	tilt_2	phase	total_mass	mass_1	chi_p	phi_12	mass_2_source	phi_2	chi_eff	mass_2	redshift
1.640936176807890661e+02	1.745599949634932813e+00	5.682455391007626311e+00	1.847776976058021159e+00	2.066003403501195823e+00	4.254162432064710342e-01	1.436715603013264797e+02	1.421440495017302907e-01	3.617398684946731002e-01	1.463673392759860917e+03	8.773936458624962409e-01	3.442740364772951978e+00	1.035458599479428810e-01	5.545535180488086269e+01	1.268903511232540131e+09	4.339741310970281774e+01	6.901803637329513297e-01	2.421567268163840492e+00	9.259595772366010502e-01	2.096869063236680120e+02	1.835905956128262915e+02	3.271772616034299141e-01	2.194387142214868192e+00	2.042205737946257926e+01	3.939987091849800560e+00	1.734928495417056571e-01	2.609631071084172760e+01	2.778492502467188041e-01
5.461115601422167742e+01	5.988487552162312433e+00	1.670883464010313180e+00	6.165645259403026435e-01	4.242470156062585485e-01	9.309695211510310431e-01	4.594280964305447412e+01	1.886768884731816198e-01	7.405250972846764146e-01	6.016073593709725174e+03	3.517662488203807114e-01	2.474334993546698058e+00	1.106039323124048179e+00	3.111515431949406718e+01	1.268903511294825554e+09	1.631683833505648451e+01	8.889854428601291492e-01	1.638460749331011712e+00	5.235730137661247063e+00	1.041399388812778568e+02	8.760996355792056534e+01	3.207715417972989425e-01	4.153336732777431095e+00	8.668346371167201525e+00	3.858638977760157740e+00	7.256988092903523535e-01	1.652997532335728437e+01	9.069352579564153860e-01
3.078403479556379239e+02	1.839981658473485382e+00	2.258985786744286628e+00	1.323077477353377329e+00	9.046683342487886748e-01	6.353885933735959890e-01	3.003011700371947086e+02	2.510538975758714805e-02	-1.544094467319112596e-01	4.767707933769846022e+03	6.429743248847598069e-01	2.667667412120543702e+00	2.258332107340157435e+00	5.733567915647088853e+01	1.268903511229107857e+09	3.275393642962204410e+01	1.902228726112379364e-01	1.324490405735247123e+00	3.772176027726100500e+00	5.388737155219691886e+02	5.256764045006142396e+02	3.809653331508782159e-01	3.160090103984889431e+00	7.539177918443224158e+00	5.000071762458373925e+00	4.971937937084178194e-01	1.319731102135495959e+01	7.504973571548357869e-01
8.854663909547166156e+01	3.214339509973780373e+00	1.278206991673057624e+00	1.154880754006862631e+00	9.356381244898992477e-01	1.105669440182931312e-01	7.761662642360617781e+01	1.408205068359071332e-01	2.875245982398826339e-01	2.773737154695027584e+03	1.482886183088377940e+00	2.486249107643423883e+00	1.527447083301874509e+00	3.450748072409410128e+01	1.268903511267868519e+09	2.331904928837527535e+01	7.393159680636096631e-01	2.273401121791640112e+00	1.068251940146395684e+00	1.310311327011734761e+02	1.148569226412237612e+02	1.101399777360856092e-01	1.325022019419529240e+00	1.093001267186548375e+01	4.539361529393310057e+00	-5.046350138563028553e-02	1.617421005994970784e+01	4.797979238929068746e-01
3.169574603521470024e+01	3.746423156348743788e-02	1.448913410377019872e-01	2.456476989021181723e+00	2.415358207520529987e+00	1.628397008490687636e-01	1.651845994455695177e+01	9.188075729577237505e-01	1.818058900524333055e-03	1.529071748843846308e+03	8.518198259297020680e-01	6.200794008943304902e+00	1.599943906231042490e-01	1.775950947820170711e+01	1.268903511277449131e+09	1.378154823429387399e+01	7.781630524854445952e-01	1.493727294181010468e+00	3.915529349951975213e+00	4.084453303514567324e+01	2.128641433918583914e+01	7.042933014178478501e-01	5.726260448007442605e+00	1.517728609065774847e+01	5.763724679570930931e+00	8.458226605584338864e-02	1.955811869595983055e+01	2.886440025663525866e-01
7.146224271049554488e+01	5.844907062066979186e+00	4.641805287146678616e-01	2.979579289743847337e+00	2.234392018863254670e+00	1.189148579262267746e-01	6.842509014632923936e+01	4.438653361904627836e-02	7.717081116487040093e-01	2.482583107940041373e+03	2.275622030465133339e+00	3.680438948280105649e+00	1.057674758412413984e+00	1.504139009123742099e+01	1.268903511285562277e+09	1.046631649871827996e+01	8.034821921345229878e-01	2.597739075775218787e+00	4.971739344360510238e+00	1.027000730901730492e+02	9.833530956617471475e+01	9.058035952047251149e-02	3.749582483862925475e+00	3.037152564166314850e+00	3.311304238750318873e+00	-1.029918675487544594e-01	4.364763523998337114e+00	4.371235661638374070e-01
8.462949168014063162e+01	4.778801920445260087e+00	5.397361416622602270e+00	1.191810166444250418e+00	2.291826743487271223e+00	6.479076252387566681e-01	7.431118259944312854e+01	1.388527099119914454e-01	-1.119432836587864077e+00	5.734005866513860383e+03	2.205267042760165719e+00	5.683518725633732060e+00	2.871253385834416250e+00	4.146239194719608889e+01	1.268903511250849009e+09	2.214589706233764588e+01	1.123323111129228002e-01	4.380385931635722430e-01	3.973703153967147461e+00	1.584465575928929866e+02	1.391282263402942192e+02	5.218154346185139847e-01	8.742842778596376929e-02	1.031830908069750308e+01	4.866230348231224134e+00	-3.248208455224192437e-01	1.931833125259876027e+01	8.722380868332032522e-01
2.232035567751390772e+02	2.079668229793716350e+00	5.337552888865308987e+00	5.575940502635708951e-01	1.411375377343331294e+00	1.538356751640971021e-01	2.154808560683121357e+02	3.583938196522963582e-02	-1.389428872103700030e+00	3.177299285111843801e+03	1.496259319472956317e+00	4.127331646502760520e+00	2.119648012870918752e+00	4.464161735878745674e+01	1.268903511367868900e+09	2.903798761200790324e+01	4.251190048806837707e-01	8.328295933617162472e-01	6.095392548572942992e+00	3.431425038061428268e+02	3.312699920282246921e+02	1.534085355110192950e-01	4.028720028258323538e+00	7.722700706826908679e+00	6.108388258052038999e+00	2.095536315292993376e-02	1.187251177791812040e+01	5.373523108855889907e-01
5.399689476250492959e+01	5.741169213483905409e+00	4.177882232412799546e+00	2.914091013707429845e+00	2.915946676773708113e+00	9.200773210774149113e-01	2.805347664499689131e+01	9.247844196214746182e-01	-2.170978051565501943e-01	9.198299620350713667e+03	2.103862311634382198e+00	1.352565346475316232e-01	1.264635888110389628e+00	5.352388323065412123e+01	1.268903511252726793e+09	2.348197246057185694e+01	4.023598682026341966e-01	2.012192445330188928e+00	5.927881645645685538e+00	1.230783953494105276e+02	6.394398982802186282e+01	7.924194082877429324e-01	5.801326131850668588e+00	2.594341811750804183e+01	5.259310038154987765e+00	-3.255023161717656155e-01	5.913440552138867190e+01	1.279360616767823755e+00
5.904850705422514778e+01	4.682686512680847457e+00	1.720289795810604705e+00	2.202575678921675273e+00	1.992497487976151005e+00	3.775072442257413341e-01	3.289411965391740722e+01	7.951082952053707409e-01	6.979963144040244316e-01	1.028874734464504763e+04	9.763053287264233937e-01	4.068253538514589707e+00	1.070204172398873554e+00	6.122657824741613553e+01	1.268903511289623022e+09	2.550092345928577586e+01	5.066655210023700562e-01	1.547883827645646138e+00	9.253424485977572098e-03	1.417728280829041410e+02	7.897731209953799691e+01	3.898248706532508323e-01	3.015300950901278476e-01	2.615438740030774767e+01	4.984216607770974861e+00	1.229265897290159198e-01	6.279551598336615825e+01	1.400955335800649237e+00
