iota	chirp_mass	phi_1	chi_p	tilt_1	dec	mass_1	mass_2	chi_eff	total_mass	mass_ratio	psi	phi_jl	phi_2	phi_12	total_mass_source	theta_jn	a_1	phase	ra	mass_2_source	luminosity_distance	a_2	chirp_mass_source	tilt_2	mass_1_source	redshift
1.299088052780395186e+00	1.136578367505981362e+02	6.130326518859567031e+00	6.967177683109643249e-01	1.867820931795990402e+00	-8.986759043596630470e-01	1.710985912935919373e+02	1.010017516206668233e+02	-1.766909469655976728e-01	2.721003429142587606e+02	5.903131688989515791e-01	1.684795595286468828e+00	3.617246435305916386e+00	1.223607999988772121e+00	1.376466788308791767e+00	1.309210757736015580e+02	1.040887904246909690e+00	7.286230431783098371e-01	5.223779367998392376e-01	1.856241656845192267e+00	4.859699122599992904e+01	7.448095850230124597e+03	6.319859150155286986e-01	5.468646639000223075e+01	1.753392498118653720e+00	8.232408454760162897e+01	1.078354010662079254e+00
1.279552929117656834e+00	3.055794235450513341e+01	5.669265025725612972e+00	1.508729672127158417e-01	2.996974543140422664e+00	3.777585543235635335e-01	6.328145070713386389e+01	2.066650964465694429e+01	4.730328153828053384e-02	8.394796035179081173e+01	3.265808449983457762e-01	6.700646131888670087e-01	5.113011880415077037e+00	3.527936486853476161e+00	4.141856768307450309e+00	5.896558332349361109e+01	1.240656068731406103e+00	9.057484244464542034e-02	4.504834904765436576e+00	6.003355765933044097e+00	1.451628832137322433e+01	2.392336318336921977e+03	7.092974759638879245e-01	2.146409380940544764e+01	8.528665819055445407e-01	4.444929500212038675e+01	4.236772642651615017e-01
2.765085843259770026e+00	3.142079680775570338e+01	4.274497494126365815e+00	3.793734406001857407e-01	5.553625211385428972e-01	-2.973204606782036130e-01	5.764829744911242670e+01	2.349605425601366093e+01	5.145254476927570986e-01	8.114435170512608408e+01	4.075758573226591075e-01	1.294558042376265483e+00	2.109757436740922198e+00	3.587560895811039430e+00	5.596248708864259847e+00	4.363452634155452614e+01	2.931075943284840779e+00	7.195304942313404117e-01	7.876823875427145794e-01	2.096425793380582547e+00	1.263475740224387955e+01	5.632263145989282748e+03	3.459935882458011203e-01	1.689620481488223191e+01	6.431831360747888304e-01	3.099976893931065192e+01	8.596363592894045169e-01
2.706689494606623558e+00	6.196972998988410097e+01	5.689174302644591563e+00	3.546223884939577187e-01	6.156027968286365004e-01	6.857372611973026055e-01	1.356675224738806946e+02	4.006589986803165715e+01	4.426485412117996399e-01	1.757334223419123589e+02	2.953241803007445876e-01	1.528005796768779012e+00	1.597993123675062632e+00	2.715273188098711543e+00	3.309284192633705324e+00	5.266124173536433517e+01	2.911937479889640024e+00	6.141170978549588266e-01	5.347567266286760379e+00	2.725893700300758837e-01	1.200636742958429259e+01	1.926066746938837969e+04	6.087648555071798473e-01	1.857018936854917968e+01	1.158798156153766579e+00	4.065487430578004080e+01	2.337054284154861605e+00
8.336906553029412859e-01	6.208282266489059253e+01	3.525246215237764602e+00	2.565910639767299828e-01	6.344360078091283439e-01	3.978060278286466023e-01	1.231330887362132955e+02	4.350096634875225021e+01	1.001428544478716320e-01	1.666340550849655529e+02	3.532841317896597833e-01	8.186427335121059246e-01	1.792219228675610454e+00	9.584617421906465040e-01	3.716400834132467246e+00	1.009958814185323064e+02	9.646511589279519461e-01	4.329018876992032361e-01	1.667329285164904196e+00	5.412521064724820974e+00	2.636566959082867356e+01	3.999628247670398650e+03	8.932790736980221746e-01	3.762801903124768899e+01	2.312288122978093607e+00	7.463021182770363282e+01	6.499094096166670997e-01
2.177303945160727228e+00	1.004136065926511492e+02	3.841152869440173312e+00	3.255464825591646294e-01	2.523771101489646451e+00	-3.771695346979746510e-01	2.206423845333588929e+02	6.472952308028959578e+01	-2.863743934253127343e-01	2.853719076136484887e+02	2.933684895455938579e-01	1.345696182933343144e+00	3.373670415682404611e-02	5.513028021642778498e-01	2.993335239903691214e+00	1.558117169769914767e+02	2.312851506048763994e+00	5.620033107241012571e-01	5.997563976130833474e+00	1.713940724657255998e+00	3.534201461727676730e+01	5.406627670487603609e+03	9.335295192365634653e-01	5.482535608317475351e+01	1.244730606372508985e+00	1.204697023597147165e+02	8.315176364803743558e-01
2.013264230005186839e+00	1.155585595622076056e+02	5.940561761778788252e+00	3.429542806722857828e-01	9.789935478085434184e-01	1.410309362524713173e-01	1.491550106424847684e+02	1.184485178094158186e+02	1.392402223954455620e-01	2.676035284519006154e+02	7.941303299111386327e-01	3.097570673823279108e+00	3.509384477997091967e+00	4.312304639843870468e+00	4.654928185244669336e+00	1.284913950025588179e+02	1.962208438472506700e+00	4.132296260215620465e-01	1.269788893352890469e+00	1.904726348220243892e+00	5.687374668549208678e+01	7.484809031450498878e+03	3.775516335242434796e-01	5.548611637721056411e+01	1.506409012016998838e+00	7.161764831706670975e+01	1.082657196200348393e+00
6.940238568198331404e-01	2.949563791614702879e+01	4.275821766018152559e+00	5.580966414683369292e-01	8.067469152675462718e-01	-9.235567920829650390e-01	5.862761269326492908e+01	2.063044454609040557e+01	4.045474217804582162e-01	7.925805723935533820e+01	3.518895550809355566e-01	2.189403452372524317e+00	5.907293711056247787e+00	4.390180324247109134e+00	1.143585582289568525e-01	4.608701900576654253e+01	5.176906930392414230e-01	7.729438419411475136e-01	4.368823121139329579e+00	2.644287148017134825e+00	1.199620231696729711e+01	4.529821797275350946e+03	5.628722921493786169e-01	1.715113986611429908e+01	1.509458468268630060e+00	3.409081668879924365e+01	7.197479669804275337e-01
1.170881372330150771e+00	6.942371978728054671e+01	4.347643941706377468e+00	2.947751988980198967e-01	2.832537715572189363e+00	7.047531861616840310e-02	2.375963137247951806e+02	3.187964245680321795e+01	-7.622957972400813409e-01	2.694759561815984057e+02	1.341756610488873402e-01	1.248557707643900561e-01	6.059847916813510871e+00	5.038563939859209029e+00	6.909199981528312273e-01	1.843517963629476242e+02	2.160205787786289466e+00	9.691500068992455752e-01	5.558091072274589095e+00	4.967935786647537100e+00	2.180925318012283398e+01	2.649725761956516635e+03	5.673560509222741466e-01	4.749361551335702814e+01	6.911476839196857291e-01	1.625425431828248009e+02	4.617484694917768362e-01
2.029703733229636597e+00	1.697636084607446776e+02	2.048105713223598912e+00	8.126316334192652535e-01	1.452390948600689402e+00	3.807157511482908152e-01	3.122376937266552659e+02	1.266827888083783336e+02	-1.961245924026338086e-02	4.389204825350336137e+02	4.057254820722614452e-01	2.334754121922074432e+00	2.313658847805560193e+00	2.731211380661417110e+00	6.831056674378191973e-01	1.581907222884630073e+02	2.610242533213698035e+00	8.183615809031850041e-01	2.966468433409431338e+00	5.318417160902278340e+00	4.565756819406266231e+01	1.376236587628620146e+04	8.515724093023334662e-01	6.118426664801983605e+01	1.938630622803634296e+00	1.125331540944003308e+02	1.774628474953517943e+00
